MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,65,4.544744|3.000000,0.019273042678833008,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,82640642048.000000,N/A,1,5
MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,66,4.544744|3.000000,0.019428014755249023,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,99773112320.000000,N/A,1,5
MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,67,4.544744|3.000000,0.020043134689331055,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,66018226176.000000,N/A,1,5
MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,68,4.544744|3.000000,0.01967906951904297,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,65847349248.000000,N/A,1,5
MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,69,4.544744|3.000000,0.018880844116210938,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,82428125184.000000,N/A,1,5
MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,70,4.544744|3.000000,0.01901102066040039,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,121550315520.000000,N/A,1,5
MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,71,4.544744|3.000000,0.01925802230834961,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,120423923712.000000,N/A,1,5
MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,72,4.544744|3.000000,0.019719839096069336,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,138552000512.000000,N/A,1,5
MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,73,4.544744|3.000000,0.019472360610961914,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,93684031488.000000,N/A,1,5
MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,74,4.544744|3.000000,0.019156694412231445,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,112747823104.000000,N/A,1,5
MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,75,4.544744|3.000000,0.01981186866760254,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,112020496384.000000,N/A,1,5
MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,76,4.544744|3.000000,0.0195157527923584,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,111627141120.000000,N/A,1,5
MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,77,4.544744|3.000000,0.0198061466217041,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,82510405632.000000,N/A,1,5
MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,78,4.544744|3.000000,0.019290924072265625,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,55831252992.000000,N/A,1,5
MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,79,4.544744|3.000000,0.020450115203857422,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,100731289600.000000,N/A,1,5
MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,80,4.544744|3.000000,0.018703460693359375,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,86845906944.000000,N/A,1,5
MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,81,4.544744|3.000000,0.019673585891723633,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,103579205632.000000,N/A,1,5
MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,82,4.544744|3.000000,0.01884174346923828,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,85416042496.000000,N/A,1,5
MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,83,4.544744|3.000000,0.019283771514892578,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,83513016320.000000,N/A,1,5
MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,84,4.544744|3.000000,0.01955556869506836,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,76196429824.000000,N/A,1,5
MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,85,4.544744|3.000000,0.019870996475219727,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,81712431104.000000,N/A,1,5
MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,86,4.544744|3.000000,0.020637035369873047,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,128349577216.000000,N/A,1,5
MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,87,4.544744|3.000000,0.01874685287475586,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,82672959488.000000,N/A,1,5
MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,88,4.544744|3.000000,0.019360780715942383,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,107129593856.000000,N/A,1,5
MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,89,4.544744|3.000000,0.01890254020690918,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,79482626048.000000,N/A,1,5
MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,90,4.544744|3.000000,0.019016265869140625,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,96540098560.000000,N/A,1,5
MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,91,4.544744|3.000000,0.019394874572753906,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,27875276800.000000,N/A,1,5
MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,92,4.544744|3.000000,0.020260334014892578,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,67316420608.000000,N/A,1,5
MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,93,4.544744|3.000000,0.018980026245117188,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,48426725376.000000,N/A,1,5
MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,94,4.544744|3.000000,0.01850104331970215,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,32582074.000000,N/A,1,5
MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,95,4.544744|3.000000,0.020006895065307617,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,107039039488.000000,N/A,1,5
MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,96,4.544744|3.000000,0.019104957580566406,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,126987231232.000000,N/A,1,5
MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,97,4.544744|3.000000,0.01967787742614746,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,2666472960.000000,N/A,1,5
MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,98,4.544744|3.000000,0.019159793853759766,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,120946466816.000000,N/A,1,5
