MOGP_GENERATIONAL,08e026a8-1559-11f1-9378-303ea725c124,Boston,74,54,6.747207|7.000000|2.000000,0.026294708251953125,7.0,7.856406|7.000000|2.000000,6.747207|7.000000|2.000000,7.856406|7.000000|2.000000,7,31875323904.000000,N/A,2,5
MOGP_GENERATIONAL,08e026a8-1559-11f1-9378-303ea725c124,Boston,74,55,6.747207|7.000000|2.000000,0.025896310806274414,7.0,7.856406|7.000000|2.000000,6.747207|7.000000|2.000000,7.856406|7.000000|2.000000,7,17572104192.000000,N/A,2,5
MOGP_GENERATIONAL,08e026a8-1559-11f1-9378-303ea725c124,Boston,74,56,6.747207|7.000000|2.000000,0.02725052833557129,7.0,7.856406|7.000000|2.000000,6.747207|7.000000|2.000000,7.856406|7.000000|2.000000,7,62285074432.000000,N/A,2,5
MOGP_GENERATIONAL,08e026a8-1559-11f1-9378-303ea725c124,Boston,74,57,6.747207|7.000000|2.000000,0.02620673179626465,7.0,7.856406|7.000000|2.000000,6.747207|7.000000|2.000000,7.856406|7.000000|2.000000,7,56839749632.000000,N/A,2,5
MOGP_GENERATIONAL,08e026a8-1559-11f1-9378-303ea725c124,Boston,74,58,6.747207|7.000000|2.000000,0.02692270278930664,7.0,7.856406|7.000000|2.000000,6.747207|7.000000|2.000000,7.856406|7.000000|2.000000,7,104775761920.000000,N/A,2,5
MOGP_GENERATIONAL,08e026a8-1559-11f1-9378-303ea725c124,Boston,74,59,6.747207|7.000000|2.000000,0.027310609817504883,7.0,7.856406|7.000000|2.000000,6.747207|7.000000|2.000000,7.856406|7.000000|2.000000,7,58917879808.000000,N/A,2,5
MOGP_GENERATIONAL,08e026a8-1559-11f1-9378-303ea725c124,Boston,74,60,6.747207|7.000000|2.000000,0.026261329650878906,7.0,7.856406|7.000000|2.000000,6.747207|7.000000|2.000000,7.856406|7.000000|2.000000,7,69161844736.000000,N/A,2,5
MOGP_GENERATIONAL,08e026a8-1559-11f1-9378-303ea725c124,Boston,74,61,6.747207|7.000000|2.000000,0.026662826538085938,7.0,7.856406|7.000000|2.000000,6.747207|7.000000|2.000000,7.856406|7.000000|2.000000,7,83885481984.000000,N/A,2,5
MOGP_GENERATIONAL,08e026a8-1559-11f1-9378-303ea725c124,Boston,74,62,6.747207|7.000000|2.000000,0.026634693145751953,7.0,7.856406|7.000000|2.000000,6.747207|7.000000|2.000000,7.856406|7.000000|2.000000,7,70953156608.000000,N/A,2,5
MOGP_GENERATIONAL,08e026a8-1559-11f1-9378-303ea725c124,Boston,74,63,6.747207|7.000000|2.000000,0.026911258697509766,7.0,7.856406|7.000000|2.000000,6.747207|7.000000|2.000000,7.856406|7.000000|2.000000,7,89932021760.000000,N/A,2,5
