MOGP_GENERATIONAL,230d8b20-148b-11f1-9378-303ea725c124,Boston,74,49,7.037997|7.000000|2.000000,0.026738405227661133,7.0,7.237908|7.000000|2.000000,7.037997|7.000000|2.000000,7.237908|7.000000|2.000000,7,108744826880.000000,N/A,2,5
MOGP_GENERATIONAL,230d8b20-148b-11f1-9378-303ea725c124,Boston,74,50,7.037997|7.000000|2.000000,0.026918888092041016,7.0,7.237908|7.000000|2.000000,7.037997|7.000000|2.000000,7.237908|7.000000|2.000000,7,92054298624.000000,N/A,2,5
MOGP_GENERATIONAL,230d8b20-148b-11f1-9378-303ea725c124,Boston,74,51,7.037997|7.000000|2.000000,0.026622772216796875,7.0,7.237908|7.000000|2.000000,7.037997|7.000000|2.000000,7.237908|7.000000|2.000000,7,69933400064.000000,N/A,2,5
MOGP_GENERATIONAL,230d8b20-148b-11f1-9378-303ea725c124,Boston,74,52,7.037997|7.000000|2.000000,0.02664494514465332,7.0,7.237908|7.000000|2.000000,7.037997|7.000000|2.000000,7.237908|7.000000|2.000000,7,49935327232.000000,N/A,2,5
MOGP_GENERATIONAL,230d8b20-148b-11f1-9378-303ea725c124,Boston,74,53,7.037997|7.000000|2.000000,0.027123689651489258,7.0,7.237908|7.000000|2.000000,7.037997|7.000000|2.000000,7.237908|7.000000|2.000000,7,79143485440.000000,N/A,2,5
MOGP_GENERATIONAL,230d8b20-148b-11f1-9378-303ea725c124,Boston,74,54,7.037997|7.000000|2.000000,0.02635788917541504,7.0,7.237908|7.000000|2.000000,7.037997|7.000000|2.000000,7.237908|7.000000|2.000000,7,31409330176.000000,N/A,2,5
MOGP_GENERATIONAL,230d8b20-148b-11f1-9378-303ea725c124,Boston,74,55,7.037997|7.000000|2.000000,0.025620698928833008,7.0,7.237908|7.000000|2.000000,7.037997|7.000000|2.000000,7.237908|7.000000|2.000000,7,106703464.000000,N/A,2,5
MOGP_GENERATIONAL,230d8b20-148b-11f1-9378-303ea725c124,Boston,74,56,7.037997|7.000000|2.000000,0.02720355987548828,7.0,7.237908|7.000000|2.000000,7.037997|7.000000|2.000000,7.237908|7.000000|2.000000,7,94197334016.000000,N/A,2,5
MOGP_GENERATIONAL,230d8b20-148b-11f1-9378-303ea725c124,Boston,74,57,7.037997|7.000000|2.000000,0.026151418685913086,7.0,7.237908|7.000000|2.000000,7.037997|7.000000|2.000000,7.237908|7.000000|2.000000,7,107038908416.000000,N/A,2,5
MOGP_GENERATIONAL,230d8b20-148b-11f1-9378-303ea725c124,Boston,74,58,7.037997|7.000000|2.000000,0.026959657669067383,7.0,7.237908|7.000000|2.000000,7.037997|7.000000|2.000000,7.237908|7.000000|2.000000,7,102878535680.000000,N/A,2,5
MOGP_GENERATIONAL,230d8b20-148b-11f1-9378-303ea725c124,Boston,74,59,7.037997|7.000000|2.000000,0.027601242065429688,7.0,7.237908|7.000000|2.000000,7.037997|7.000000|2.000000,7.237908|7.000000|2.000000,7,76293545984.000000,N/A,2,5
MOGP_GENERATIONAL,230d8b20-148b-11f1-9378-303ea725c124,Boston,74,60,7.037997|7.000000|2.000000,0.026270151138305664,7.0,7.237908|7.000000|2.000000,7.037997|7.000000|2.000000,7.237908|7.000000|2.000000,7,71937261568.000000,N/A,2,5
MOGP_GENERATIONAL,230d8b20-148b-11f1-9378-303ea725c124,Boston,74,61,7.037997|7.000000|2.000000,0.026912212371826172,7.0,7.237908|7.000000|2.000000,7.037997|7.000000|2.000000,7.237908|7.000000|2.000000,7,83609460736.000000,N/A,2,5
MOGP_GENERATIONAL,230d8b20-148b-11f1-9378-303ea725c124,Boston,74,62,7.037997|7.000000|2.000000,0.02650618553161621,7.0,7.237908|7.000000|2.000000,7.037997|7.000000|2.000000,7.237908|7.000000|2.000000,7,70996893696.000000,N/A,2,5
MOGP_GENERATIONAL,230d8b20-148b-11f1-9378-303ea725c124,Boston,74,63,7.037997|7.000000|2.000000,0.02675938606262207,7.0,7.237908|7.000000|2.000000,7.037997|7.000000|2.000000,7.237908|7.000000|2.000000,7,90257195008.000000,N/A,2,5
MOGP_GENERATIONAL,230d8b20-148b-11f1-9378-303ea725c124,Boston,74,64,7.037997|7.000000|2.000000,0.026567459106445312,7.0,7.237908|7.000000|2.000000,7.037997|7.000000|2.000000,7.237908|7.000000|2.000000,7,81873895424.000000,N/A,2,5
MOGP_GENERATIONAL,230d8b20-148b-11f1-9378-303ea725c124,Boston,74,65,7.037997|7.000000|2.000000,0.02587437629699707,7.0,7.237908|7.000000|2.000000,7.037997|7.000000|2.000000,7.237908|7.000000|2.000000,7,70604570624.000000,N/A,2,5
MOGP_GENERATIONAL,230d8b20-148b-11f1-9378-303ea725c124,Boston,74,66,7.037997|7.000000|2.000000,0.026348114013671875,7.0,7.237908|7.000000|2.000000,7.037997|7.000000|2.000000,7.237908|7.000000|2.000000,7,103330652160.000000,N/A,2,5
MOGP_GENERATIONAL,230d8b20-148b-11f1-9378-303ea725c124,Boston,74,67,7.037997|7.000000|2.000000,0.026549577713012695,7.0,7.237908|7.000000|2.000000,7.037997|7.000000|2.000000,7.237908|7.000000|2.000000,7,112803569664.000000,N/A,2,5
MOGP_GENERATIONAL,230d8b20-148b-11f1-9378-303ea725c124,Boston,74,68,7.037997|7.000000|2.000000,0.02649998664855957,7.0,7.237908|7.000000|2.000000,7.037997|7.000000|2.000000,7.237908|7.000000|2.000000,7,74808238080.000000,N/A,2,5
MOGP_GENERATIONAL,230d8b20-148b-11f1-9378-303ea725c124,Boston,74,69,7.037997|7.000000|2.000000,0.026108980178833008,7.0,7.237908|7.000000|2.000000,7.037997|7.000000|2.000000,7.237908|7.000000|2.000000,7,54977622016.000000,N/A,2,5
MOGP_GENERATIONAL,230d8b20-148b-11f1-9378-303ea725c124,Boston,74,70,7.037997|7.000000|2.000000,0.027100801467895508,7.0,7.237908|7.000000|2.000000,7.037997|7.000000|2.000000,7.237908|7.000000|2.000000,7,106413850624.000000,N/A,2,5
MOGP_GENERATIONAL,230d8b20-148b-11f1-9378-303ea725c124,Boston,74,71,7.037997|7.000000|2.000000,0.02747201919555664,7.0,7.237908|7.000000|2.000000,7.037997|7.000000|2.000000,7.237908|7.000000|2.000000,7,89561030656.000000,N/A,2,5
MOGP_GENERATIONAL,230d8b20-148b-11f1-9378-303ea725c124,Boston,74,72,7.037997|7.000000|2.000000,0.02549910545349121,7.0,7.237908|7.000000|2.000000,7.037997|7.000000|2.000000,7.237908|7.000000|2.000000,7,90030292992.000000,N/A,2,5
MOGP_GENERATIONAL,230d8b20-148b-11f1-9378-303ea725c124,Boston,74,73,7.037997|7.000000|2.000000,0.02634286880493164,7.0,7.237908|7.000000|2.000000,7.037997|7.000000|2.000000,7.237908|7.000000|2.000000,7,67447287808.000000,N/A,2,5
MOGP_GENERATIONAL,230d8b20-148b-11f1-9378-303ea725c124,Boston,74,74,7.037997|7.000000|2.000000,0.027866125106811523,7.0,7.237908|7.000000|2.000000,7.037997|7.000000|2.000000,7.237908|7.000000|2.000000,7,95980904448.000000,N/A,2,5
MOGP_GENERATIONAL,230d8b20-148b-11f1-9378-303ea725c124,Boston,74,75,7.037997|7.000000|2.000000,0.026073932647705078,7.0,7.237908|7.000000|2.000000,7.037997|7.000000|2.000000,7.237908|7.000000|2.000000,7,68484988928.000000,N/A,2,5
MOGP_GENERATIONAL,230d8b20-148b-11f1-9378-303ea725c124,Boston,74,76,7.037997|7.000000|2.000000,0.026081085205078125,7.0,7.237908|7.000000|2.000000,7.037997|7.000000|2.000000,7.237908|7.000000|2.000000,7,74506952704.000000,N/A,2,5
MOGP_GENERATIONAL,230d8b20-148b-11f1-9378-303ea725c124,Boston,74,77,7.037997|7.000000|2.000000,0.026825428009033203,7.0,7.237908|7.000000|2.000000,7.037997|7.000000|2.000000,7.237908|7.000000|2.000000,7,62772588544.000000,N/A,2,5
MOGP_GENERATIONAL,230d8b20-148b-11f1-9378-303ea725c124,Boston,74,78,7.037997|7.000000|2.000000,0.02641773223876953,7.0,7.237908|7.000000|2.000000,7.037997|7.000000|2.000000,7.237908|7.000000|2.000000,7,98655215616.000000,N/A,2,5
MOGP_GENERATIONAL,230d8b20-148b-11f1-9378-303ea725c124,Boston,74,79,7.037997|7.000000|2.000000,0.026915311813354492,7.0,7.237908|7.000000|2.000000,7.037997|7.000000|2.000000,7.237908|7.000000|2.000000,7,53635473408.000000,N/A,2,5
MOGP_GENERATIONAL,230d8b20-148b-11f1-9378-303ea725c124,Boston,74,80,7.037997|7.000000|2.000000,0.026735305786132812,7.0,7.237908|7.000000|2.000000,7.037997|7.000000|2.000000,7.237908|7.000000|2.000000,7,59712335872.000000,N/A,2,5
MOGP_GENERATIONAL,230d8b20-148b-11f1-9378-303ea725c124,Boston,74,81,7.037997|7.000000|2.000000,0.02693343162536621,7.0,7.237908|7.000000|2.000000,7.037997|7.000000|2.000000,7.237908|7.000000|2.000000,7,111061213184.000000,N/A,2,5
MOGP_GENERATIONAL,230d8b20-148b-11f1-9378-303ea725c124,Boston,74,82,7.037997|7.000000|2.000000,0.025583744049072266,7.0,7.237908|7.000000|2.000000,7.037997|7.000000|2.000000,7.237908|7.000000|2.000000,7,3753990144.000000,N/A,2,5
MOGP_GENERATIONAL,230d8b20-148b-11f1-9378-303ea725c124,Boston,74,83,7.037997|7.000000|2.000000,0.026872873306274414,7.0,7.237908|7.000000|2.000000,7.037997|7.000000|2.000000,7.237908|7.000000|2.000000,7,59371683840.000000,N/A,2,5
MOGP_GENERATIONAL,230d8b20-148b-11f1-9378-303ea725c124,Boston,74,84,7.037997|7.000000|2.000000,0.026327848434448242,7.0,7.237908|7.000000|2.000000,7.037997|7.000000|2.000000,7.237908|7.000000|2.000000,7,62791188480.000000,N/A,2,5
