MOGP_GENERATIONAL,36178ec4-143f-11f1-9378-303ea725c124,Cooling,74,50,4.389738|3.000000|1.000000,0.026743173599243164,3.0,4.892997|3.000000|1.000000,4.389738|3.000000|1.000000,4.892997|3.000000|1.000000,3,62400008192.000000,N/A,2,5
MOGP_GENERATIONAL,36178ec4-143f-11f1-9378-303ea725c124,Cooling,74,51,4.389738|3.000000|1.000000,0.02739095687866211,3.0,4.892997|3.000000|1.000000,4.389738|3.000000|1.000000,4.892997|3.000000|1.000000,3,111117574144.000000,N/A,2,5
MOGP_GENERATIONAL,36178ec4-143f-11f1-9378-303ea725c124,Cooling,74,52,4.389738|3.000000|1.000000,0.027536392211914062,3.0,4.892997|3.000000|1.000000,4.389738|3.000000|1.000000,4.892997|3.000000|1.000000,3,110818246656.000000,N/A,2,5
MOGP_GENERATIONAL,36178ec4-143f-11f1-9378-303ea725c124,Cooling,74,53,4.389738|3.000000|1.000000,0.0267789363861084,3.0,4.892997|3.000000|1.000000,4.389738|3.000000|1.000000,4.892997|3.000000|1.000000,3,78812061696.000000,N/A,2,5
MOGP_GENERATIONAL,36178ec4-143f-11f1-9378-303ea725c124,Cooling,74,54,4.389738|3.000000|1.000000,0.027611494064331055,3.0,4.892997|3.000000|1.000000,4.389738|3.000000|1.000000,4.892997|3.000000|1.000000,3,98233253888.000000,N/A,2,5
MOGP_GENERATIONAL,36178ec4-143f-11f1-9378-303ea725c124,Cooling,74,55,4.389738|3.000000|1.000000,0.026237010955810547,3.0,4.892997|3.000000|1.000000,4.389738|3.000000|1.000000,4.892997|3.000000|1.000000,3,93879885824.000000,N/A,2,5
MOGP_GENERATIONAL,36178ec4-143f-11f1-9378-303ea725c124,Cooling,74,56,4.389738|3.000000|1.000000,0.027773618698120117,3.0,4.892997|3.000000|1.000000,4.389738|3.000000|1.000000,4.892997|3.000000|1.000000,3,129643405312.000000,N/A,2,5
MOGP_GENERATIONAL,36178ec4-143f-11f1-9378-303ea725c124,Cooling,74,57,4.389738|3.000000|1.000000,0.026654958724975586,3.0,4.892997|3.000000|1.000000,4.389738|3.000000|1.000000,4.892997|3.000000|1.000000,3,105659842560.000000,N/A,2,5
MOGP_GENERATIONAL,36178ec4-143f-11f1-9378-303ea725c124,Cooling,74,58,4.389738|3.000000|1.000000,0.02735757827758789,3.0,4.892997|3.000000|1.000000,4.389738|3.000000|1.000000,4.892997|3.000000|1.000000,3,137384869888.000000,N/A,2,5
MOGP_GENERATIONAL,36178ec4-143f-11f1-9378-303ea725c124,Cooling,74,59,4.389738|3.000000|1.000000,0.027118444442749023,3.0,4.892997|3.000000|1.000000,4.389738|3.000000|1.000000,4.892997|3.000000|1.000000,3,113642676224.000000,N/A,2,5
MOGP_GENERATIONAL,36178ec4-143f-11f1-9378-303ea725c124,Cooling,74,60,4.389738|3.000000|1.000000,0.02693319320678711,3.0,4.892997|3.000000|1.000000,4.389738|3.000000|1.000000,4.892997|3.000000|1.000000,3,58237116416.000000,N/A,2,5
MOGP_GENERATIONAL,36178ec4-143f-11f1-9378-303ea725c124,Cooling,74,61,4.389738|3.000000|1.000000,0.02624344825744629,3.0,4.892997|3.000000|1.000000,4.389738|3.000000|1.000000,4.892997|3.000000|1.000000,3,50007482368.000000,N/A,2,5
MOGP_GENERATIONAL,36178ec4-143f-11f1-9378-303ea725c124,Cooling,74,62,4.389738|3.000000|1.000000,0.02668452262878418,3.0,4.892997|3.000000|1.000000,4.389738|3.000000|1.000000,4.892997|3.000000|1.000000,3,68582035456.000000,N/A,2,5
MOGP_GENERATIONAL,36178ec4-143f-11f1-9378-303ea725c124,Cooling,74,63,4.389738|3.000000|1.000000,0.02720952033996582,3.0,4.892997|3.000000|1.000000,4.389738|3.000000|1.000000,4.892997|3.000000|1.000000,3,107040473088.000000,N/A,2,5
