MOGP_GENERATIONAL,a1a0f24e-1533-11f1-9378-303ea725c124,Cooling,74,35,4.477321|3.000000|1.000000,0.028169631958007812,3.0,4.704899|3.000000|1.000000,4.477321|3.000000|1.000000,4.704899|3.000000|1.000000,3,122224705536.000000,N/A,2,5
MOGP_GENERATIONAL,a1a0f24e-1533-11f1-9378-303ea725c124,Cooling,74,36,4.477321|3.000000|1.000000,0.02706766128540039,3.0,4.704899|3.000000|1.000000,4.477321|3.000000|1.000000,4.704899|3.000000|1.000000,3,95523962880.000000,N/A,2,5
MOGP_GENERATIONAL,a1a0f24e-1533-11f1-9378-303ea725c124,Cooling,74,37,4.477321|3.000000|1.000000,0.026494503021240234,3.0,4.704899|3.000000|1.000000,4.477321|3.000000|1.000000,4.704899|3.000000|1.000000,3,96585072640.000000,N/A,2,5
MOGP_GENERATIONAL,a1a0f24e-1533-11f1-9378-303ea725c124,Cooling,74,38,4.477321|3.000000|1.000000,0.026492595672607422,3.0,4.704899|3.000000|1.000000,4.477321|3.000000|1.000000,4.704899|3.000000|1.000000,3,103321149440.000000,N/A,2,5
MOGP_GENERATIONAL,a1a0f24e-1533-11f1-9378-303ea725c124,Cooling,74,39,4.477321|3.000000|1.000000,0.02626657485961914,3.0,4.704899|3.000000|1.000000,4.477321|3.000000|1.000000,4.704899|3.000000|1.000000,3,94305271808.000000,N/A,2,5
MOGP_GENERATIONAL,a1a0f24e-1533-11f1-9378-303ea725c124,Cooling,74,40,4.477321|3.000000|1.000000,0.027000904083251953,3.0,4.704899|3.000000|1.000000,4.477321|3.000000|1.000000,4.704899|3.000000|1.000000,3,135263453184.000000,N/A,2,5
MOGP_GENERATIONAL,a1a0f24e-1533-11f1-9378-303ea725c124,Cooling,74,41,4.477321|3.000000|1.000000,0.026500940322875977,3.0,4.704899|3.000000|1.000000,4.477321|3.000000|1.000000,4.704899|3.000000|1.000000,3,146383437824.000000,N/A,2,5
MOGP_GENERATIONAL,a1a0f24e-1533-11f1-9378-303ea725c124,Cooling,74,42,4.477321|3.000000|1.000000,0.02629852294921875,3.0,4.704899|3.000000|1.000000,4.477321|3.000000|1.000000,4.704899|3.000000|1.000000,3,88442216448.000000,N/A,2,5
MOGP_GENERATIONAL,a1a0f24e-1533-11f1-9378-303ea725c124,Cooling,74,43,4.477321|3.000000|1.000000,0.02700948715209961,3.0,4.704899|3.000000|1.000000,4.477321|3.000000|1.000000,4.704899|3.000000|1.000000,3,104238555136.000000,N/A,2,5
MOGP_GENERATIONAL,a1a0f24e-1533-11f1-9378-303ea725c124,Cooling,74,44,4.477321|3.000000|1.000000,0.02585601806640625,3.0,4.704899|3.000000|1.000000,4.477321|3.000000|1.000000,4.704899|3.000000|1.000000,3,58739204096.000000,N/A,2,5
MOGP_GENERATIONAL,a1a0f24e-1533-11f1-9378-303ea725c124,Cooling,74,45,4.477321|3.000000|1.000000,0.026801586151123047,3.0,4.704899|3.000000|1.000000,4.477321|3.000000|1.000000,4.704899|3.000000|1.000000,3,122027286528.000000,N/A,2,5
MOGP_GENERATIONAL,a1a0f24e-1533-11f1-9378-303ea725c124,Cooling,74,46,4.477321|3.000000|1.000000,0.027367591857910156,3.0,4.704899|3.000000|1.000000,4.477321|3.000000|1.000000,4.704899|3.000000|1.000000,3,116415037440.000000,N/A,2,5
MOGP_GENERATIONAL,a1a0f24e-1533-11f1-9378-303ea725c124,Cooling,74,47,4.477321|3.000000|1.000000,0.0267333984375,3.0,4.704899|3.000000|1.000000,4.477321|3.000000|1.000000,4.704899|3.000000|1.000000,3,49937465344.000000,N/A,2,5
MOGP_GENERATIONAL,a1a0f24e-1533-11f1-9378-303ea725c124,Cooling,74,48,4.477321|3.000000|1.000000,0.027785778045654297,3.0,4.704899|3.000000|1.000000,4.477321|3.000000|1.000000,4.704899|3.000000|1.000000,3,138423173120.000000,N/A,2,5
MOGP_GENERATIONAL,a1a0f24e-1533-11f1-9378-303ea725c124,Cooling,74,49,4.477321|3.000000|1.000000,0.026799917221069336,3.0,4.704899|3.000000|1.000000,4.477321|3.000000|1.000000,4.704899|3.000000|1.000000,3,98776989696.000000,N/A,2,5
MOGP_GENERATIONAL,a1a0f24e-1533-11f1-9378-303ea725c124,Cooling,74,50,4.477321|3.000000|1.000000,0.026731252670288086,3.0,4.704899|3.000000|1.000000,4.477321|3.000000|1.000000,4.704899|3.000000|1.000000,3,63098253312.000000,N/A,2,5
MOGP_GENERATIONAL,a1a0f24e-1533-11f1-9378-303ea725c124,Cooling,74,51,4.477321|3.000000|1.000000,0.02733325958251953,3.0,4.704899|3.000000|1.000000,4.477321|3.000000|1.000000,4.704899|3.000000|1.000000,3,111117000704.000000,N/A,2,5
