MOGP_GENERATIONAL,610d9d1a-13d3-11f1-9378-303ea725c124,Toxicity,74,73,2161.450439|15.000000|2.000000,0.02786397933959961,15.0,1646.492065|15.000000|2.000000,2161.450439|15.000000|2.000000,1646.492065|15.000000|2.000000,15,127851552.000000,N/A,2,5
MOGP_GENERATIONAL,610d9d1a-13d3-11f1-9378-303ea725c124,Toxicity,74,74,2161.450439|15.000000|2.000000,0.028264760971069336,15.0,1646.492065|15.000000|2.000000,2161.450439|15.000000|2.000000,1646.492065|15.000000|2.000000,15,89493446656.000000,N/A,2,5
MOGP_GENERATIONAL,610d9d1a-13d3-11f1-9378-303ea725c124,Toxicity,74,75,2161.450439|15.000000|2.000000,0.03040623664855957,15.0,1646.492065|15.000000|2.000000,2161.450439|15.000000|2.000000,1646.492065|15.000000|2.000000,15,84616830976.000000,N/A,2,5
MOGP_GENERATIONAL,610d9d1a-13d3-11f1-9378-303ea725c124,Toxicity,74,76,2161.450439|15.000000|2.000000,0.029826641082763672,15.0,1646.492065|15.000000|2.000000,2161.450439|15.000000|2.000000,1646.492065|15.000000|2.000000,15,50952667136.000000,N/A,2,5
MOGP_GENERATIONAL,610d9d1a-13d3-11f1-9378-303ea725c124,Toxicity,74,77,2161.450439|15.000000|2.000000,0.029468774795532227,15.0,1646.492065|15.000000|2.000000,2161.450439|15.000000|2.000000,1646.492065|15.000000|2.000000,15,53995851776.000000,N/A,2,5
MOGP_GENERATIONAL,610d9d1a-13d3-11f1-9378-303ea725c124,Toxicity,74,78,2161.450439|15.000000|2.000000,0.030237436294555664,15.0,1646.492065|15.000000|2.000000,2161.450439|15.000000|2.000000,1646.492065|15.000000|2.000000,15,11063088128.000000,N/A,2,5
MOGP_GENERATIONAL,610d9d1a-13d3-11f1-9378-303ea725c124,Toxicity,74,79,2161.450439|15.000000|2.000000,0.028772830963134766,15.0,1646.492065|15.000000|2.000000,2161.450439|15.000000|2.000000,1646.492065|15.000000|2.000000,15,58602168320.000000,N/A,2,5
MOGP_GENERATIONAL,610d9d1a-13d3-11f1-9378-303ea725c124,Toxicity,74,80,2161.450439|15.000000|2.000000,0.02889847755432129,15.0,1646.492065|15.000000|2.000000,2161.450439|15.000000|2.000000,1646.492065|15.000000|2.000000,15,43554148352.000000,N/A,2,5
MOGP_GENERATIONAL,610d9d1a-13d3-11f1-9378-303ea725c124,Toxicity,74,81,2161.450439|15.000000|2.000000,0.0674750804901123,15.0,1646.492065|15.000000|2.000000,2161.450439|15.000000|2.000000,1646.492065|15.000000|2.000000,15,49937760256.000000,N/A,2,5
MOGP_GENERATIONAL,610d9d1a-13d3-11f1-9378-303ea725c124,Toxicity,74,82,2161.450439|15.000000|2.000000,0.028897762298583984,15.0,1646.492065|15.000000|2.000000,2161.450439|15.000000|2.000000,1646.492065|15.000000|2.000000,15,59120594944.000000,N/A,2,5
MOGP_GENERATIONAL,610d9d1a-13d3-11f1-9378-303ea725c124,Toxicity,74,83,2161.450439|15.000000|2.000000,0.027962684631347656,15.0,1646.492065|15.000000|2.000000,2161.450439|15.000000|2.000000,1646.492065|15.000000|2.000000,15,31032156160.000000,N/A,2,5
MOGP_GENERATIONAL,610d9d1a-13d3-11f1-9378-303ea725c124,Toxicity,74,84,2161.450439|15.000000|2.000000,0.03023695945739746,15.0,1646.492065|15.000000|2.000000,2161.450439|15.000000|2.000000,1646.492065|15.000000|2.000000,15,97296293888.000000,N/A,2,5
MOGP_GENERATIONAL,610d9d1a-13d3-11f1-9378-303ea725c124,Toxicity,74,85,2161.450439|15.000000|2.000000,0.029089689254760742,15.0,1646.492065|15.000000|2.000000,2161.450439|15.000000|2.000000,1646.492065|15.000000|2.000000,15,76594257920.000000,N/A,2,5
MOGP_GENERATIONAL,610d9d1a-13d3-11f1-9378-303ea725c124,Toxicity,74,86,2161.450439|15.000000|2.000000,0.030017614364624023,15.0,1646.492065|15.000000|2.000000,2161.450439|15.000000|2.000000,1646.492065|15.000000|2.000000,15,84255956992.000000,N/A,2,5
