MOGP_NSGAII,b666691a-e7df-11f0-b717-6e001b3eef54,Boston,74,0,10.019363|3.000000,0.768082857131958,3.0,10.284841|3.000000,10.284841|3.000000,3,243624722432.000000,N/A,5
MOGP_NSGAII,b666691a-e7df-11f0-b717-6e001b3eef54,Boston,74,53,9.346452|3.000000,5.006034851074219,3.0,9.205783|3.000000,8.096146|5.000000,5,0.149242,N/A,5
MOGP_NSGAII,b666691a-e7df-11f0-b717-6e001b3eef54,Boston,74,54,9.346452|3.000000,5.150006055831909,3.0,9.205783|3.000000,8.096146|5.000000,5,0.149242,N/A,5
MOGP_NSGAII,b666691a-e7df-11f0-b717-6e001b3eef54,Boston,74,55,9.346452|3.000000,5.035281181335449,3.0,9.205783|3.000000,8.096146|5.000000,5,0.149242,N/A,5
MOGP_NSGAII,b666691a-e7df-11f0-b717-6e001b3eef54,Boston,74,56,9.346452|3.000000,5.173598051071167,3.0,9.205783|3.000000,8.096146|5.000000,5,0.149242,N/A,5
MOGP_NSGAII,b666691a-e7df-11f0-b717-6e001b3eef54,Boston,74,57,9.346452|3.000000,5.070265054702759,3.0,9.205783|3.000000,8.096146|5.000000,5,0.149242,N/A,5
MOGP_NSGAII,b666691a-e7df-11f0-b717-6e001b3eef54,Boston,74,58,9.346452|3.000000,4.966190814971924,3.0,9.205783|3.000000,8.096146|5.000000,5,0.149242,N/A,5
MOGP_NSGAII,b666691a-e7df-11f0-b717-6e001b3eef54,Boston,74,59,9.346452|3.000000,5.118661880493164,3.0,9.205783|3.000000,8.096146|5.000000,5,0.149242,N/A,5
MOGP_NSGAII,b666691a-e7df-11f0-b717-6e001b3eef54,Boston,74,60,9.346452|3.000000,5.0803139209747314,3.0,9.205783|3.000000,8.096146|5.000000,5,0.149242,N/A,5
MOGP_NSGAII,b666691a-e7df-11f0-b717-6e001b3eef54,Boston,74,61,9.346452|3.000000,5.133159160614014,3.0,9.205783|3.000000,8.096146|5.000000,5,0.149242,N/A,5
MOGP_NSGAII,b666691a-e7df-11f0-b717-6e001b3eef54,Boston,74,62,9.346452|3.000000,5.146658182144165,3.0,9.205783|3.000000,8.096146|5.000000,5,0.149242,N/A,5
MOGP_NSGAII,b666691a-e7df-11f0-b717-6e001b3eef54,Boston,74,63,9.346452|3.000000,5.155050992965698,3.0,9.205783|3.000000,8.096146|5.000000,5,0.149242,N/A,5
MOGP_NSGAII,b666691a-e7df-11f0-b717-6e001b3eef54,Boston,74,64,9.346452|3.000000,5.104349136352539,3.0,9.205783|3.000000,8.096146|5.000000,5,0.149242,N/A,5
MOGP_NSGAII,b666691a-e7df-11f0-b717-6e001b3eef54,Boston,74,65,9.346452|3.000000,4.961968898773193,3.0,9.205783|3.000000,8.096146|5.000000,5,0.149242,N/A,5
MOGP_NSGAII,b666691a-e7df-11f0-b717-6e001b3eef54,Boston,74,66,9.346452|3.000000,5.089076995849609,3.0,9.205783|3.000000,8.096146|5.000000,5,0.149242,N/A,5
