MOGP_GENERATIONAL,f2723df8-13f4-11f1-9378-303ea725c124,Boston,74,86,8.113361|7.000000|1.000000,0.025835275650024414,7.0,7.558832|7.000000|1.000000,8.113361|7.000000|1.000000,7.558832|7.000000|1.000000,7,53335105536.000000,N/A,2,5
MOGP_GENERATIONAL,f2723df8-13f4-11f1-9378-303ea725c124,Boston,74,87,8.113361|7.000000|1.000000,0.026069164276123047,7.0,7.558832|7.000000|1.000000,8.113361|7.000000|1.000000,7.558832|7.000000|1.000000,7,103205912576.000000,N/A,2,5
MOGP_GENERATIONAL,f2723df8-13f4-11f1-9378-303ea725c124,Boston,74,88,8.113361|7.000000|1.000000,0.026849031448364258,7.0,7.558832|7.000000|1.000000,8.113361|7.000000|1.000000,7.558832|7.000000|1.000000,7,92822781952.000000,N/A,2,5
MOGP_GENERATIONAL,f2723df8-13f4-11f1-9378-303ea725c124,Boston,74,89,8.113361|7.000000|1.000000,0.02631402015686035,7.0,7.558832|7.000000|1.000000,8.113361|7.000000|1.000000,7.558832|7.000000|1.000000,7,93064912896.000000,N/A,2,5
MOGP_GENERATIONAL,f2723df8-13f4-11f1-9378-303ea725c124,Boston,74,90,8.113361|7.000000|1.000000,0.026154518127441406,7.0,7.558832|7.000000|1.000000,8.113361|7.000000|1.000000,7.558832|7.000000|1.000000,7,91616894976.000000,N/A,2,5
MOGP_GENERATIONAL,f2723df8-13f4-11f1-9378-303ea725c124,Boston,74,91,8.113361|7.000000|1.000000,0.02750396728515625,7.0,7.558832|7.000000|1.000000,8.113361|7.000000|1.000000,7.558832|7.000000|1.000000,7,107790925824.000000,N/A,2,5
MOGP_GENERATIONAL,f2723df8-13f4-11f1-9378-303ea725c124,Boston,74,92,8.113361|7.000000|1.000000,0.026059865951538086,7.0,7.558832|7.000000|1.000000,8.113361|7.000000|1.000000,7.558832|7.000000|1.000000,7,77764263936.000000,N/A,2,5
MOGP_GENERATIONAL,f2723df8-13f4-11f1-9378-303ea725c124,Boston,74,93,8.113361|7.000000|1.000000,0.02613377571105957,7.0,7.558832|7.000000|1.000000,8.113361|7.000000|1.000000,7.558832|7.000000|1.000000,7,64075587584.000000,N/A,2,5
MOGP_GENERATIONAL,f2723df8-13f4-11f1-9378-303ea725c124,Boston,74,94,8.113361|7.000000|1.000000,0.026910781860351562,7.0,7.558832|7.000000|1.000000,8.113361|7.000000|1.000000,7.558832|7.000000|1.000000,7,61120974848.000000,N/A,2,5
MOGP_GENERATIONAL,f2723df8-13f4-11f1-9378-303ea725c124,Boston,74,95,8.113361|7.000000|1.000000,0.0271456241607666,7.0,7.558832|7.000000|1.000000,8.113361|7.000000|1.000000,7.558832|7.000000|1.000000,7,92116353024.000000,N/A,2,5
MOGP_GENERATIONAL,f2723df8-13f4-11f1-9378-303ea725c124,Boston,74,96,8.113361|7.000000|1.000000,0.027788877487182617,7.0,7.558832|7.000000|1.000000,8.113361|7.000000|1.000000,7.558832|7.000000|1.000000,7,67930476544.000000,N/A,2,5
MOGP_GENERATIONAL,f2723df8-13f4-11f1-9378-303ea725c124,Boston,74,97,8.113361|7.000000|1.000000,0.026476621627807617,7.0,7.558832|7.000000|1.000000,8.113361|7.000000|1.000000,7.558832|7.000000|1.000000,7,72121606144.000000,N/A,2,5
MOGP_GENERATIONAL,f2723df8-13f4-11f1-9378-303ea725c124,Boston,74,98,8.113361|7.000000|1.000000,0.026122570037841797,7.0,7.558832|7.000000|1.000000,8.113361|7.000000|1.000000,7.558832|7.000000|1.000000,7,75927904256.000000,N/A,2,5
MOGP_GENERATIONAL,f2723df8-13f4-11f1-9378-303ea725c124,Boston,74,99,8.113361|7.000000|1.000000,0.026291608810424805,7.0,7.558832|7.000000|1.000000,8.113361|7.000000|1.000000,7.558832|7.000000|1.000000,7,55306207232.000000,N/A,2,5
MOGP_GENERATIONAL,f2723df8-13f4-11f1-9378-303ea725c124,Boston,74,100,8.113361|7.000000|1.000000,0.026177167892456055,7.0,7.558832|7.000000|1.000000,8.113361|7.000000|1.000000,7.558832|7.000000|1.000000,7,2744729856.000000,N/A,2,5
MOGP_GENERATIONAL,f2723df8-13f4-11f1-9378-303ea725c124,Boston,74,101,8.113361|7.000000|1.000000,0.02639007568359375,7.0,7.558832|7.000000|1.000000,8.113361|7.000000|1.000000,7.558832|7.000000|1.000000,7,70108069888.000000,N/A,2,5
