MOGP_GENERATIONAL,2104655a-1478-11f1-9378-303ea725c124,Boston,74,38,7.055313|7.000000|2.000000,0.025684595108032227,7.0,7.198538|7.000000|2.000000,7.055313|7.000000|2.000000,7.198538|7.000000|2.000000,7,67473723392.000000,N/A,2,5
MOGP_GENERATIONAL,2104655a-1478-11f1-9378-303ea725c124,Boston,74,39,7.055313|7.000000|2.000000,0.02651810646057129,7.0,7.198538|7.000000|2.000000,7.055313|7.000000|2.000000,7.198538|7.000000|2.000000,7,62316167168.000000,N/A,2,5
MOGP_GENERATIONAL,2104655a-1478-11f1-9378-303ea725c124,Boston,74,40,7.055313|7.000000|2.000000,0.025844573974609375,7.0,7.198538|7.000000|2.000000,7.055313|7.000000|2.000000,7.198538|7.000000|2.000000,7,73945907200.000000,N/A,2,5
MOGP_GENERATIONAL,2104655a-1478-11f1-9378-303ea725c124,Boston,74,41,7.055313|7.000000|2.000000,0.0269162654876709,7.0,7.198538|7.000000|2.000000,7.055313|7.000000|2.000000,7.198538|7.000000|2.000000,7,99012943872.000000,N/A,2,5
MOGP_GENERATIONAL,2104655a-1478-11f1-9378-303ea725c124,Boston,74,42,7.055313|7.000000|2.000000,0.02607250213623047,7.0,7.198538|7.000000|2.000000,7.055313|7.000000|2.000000,7.198538|7.000000|2.000000,7,102474211328.000000,N/A,2,5
MOGP_GENERATIONAL,2104655a-1478-11f1-9378-303ea725c124,Boston,74,43,7.055313|7.000000|2.000000,0.027307987213134766,7.0,7.198538|7.000000|2.000000,7.055313|7.000000|2.000000,7.198538|7.000000|2.000000,7,61808373760.000000,N/A,2,5
MOGP_GENERATIONAL,2104655a-1478-11f1-9378-303ea725c124,Boston,74,44,7.055313|7.000000|2.000000,0.026233434677124023,7.0,7.198538|7.000000|2.000000,7.055313|7.000000|2.000000,7.198538|7.000000|2.000000,7,57015930880.000000,N/A,2,5
MOGP_GENERATIONAL,2104655a-1478-11f1-9378-303ea725c124,Boston,74,45,7.055313|7.000000|2.000000,0.026757478713989258,7.0,7.198538|7.000000|2.000000,7.055313|7.000000|2.000000,7.198538|7.000000|2.000000,7,126163566592.000000,N/A,2,5
MOGP_GENERATIONAL,2104655a-1478-11f1-9378-303ea725c124,Boston,74,46,7.055313|7.000000|2.000000,0.027146577835083008,7.0,7.198538|7.000000|2.000000,7.055313|7.000000|2.000000,7.198538|7.000000|2.000000,7,108894240768.000000,N/A,2,5
MOGP_GENERATIONAL,2104655a-1478-11f1-9378-303ea725c124,Boston,74,47,7.055313|7.000000|2.000000,0.026744365692138672,7.0,7.198538|7.000000|2.000000,7.055313|7.000000|2.000000,7.198538|7.000000|2.000000,7,110491205632.000000,N/A,2,5
MOGP_GENERATIONAL,2104655a-1478-11f1-9378-303ea725c124,Boston,74,48,7.055313|7.000000|2.000000,0.02636551856994629,7.0,7.198538|7.000000|2.000000,7.055313|7.000000|2.000000,7.198538|7.000000|2.000000,7,75870289920.000000,N/A,2,5
MOGP_GENERATIONAL,2104655a-1478-11f1-9378-303ea725c124,Boston,74,49,7.055313|7.000000|2.000000,0.02685713768005371,7.0,7.198538|7.000000|2.000000,7.055313|7.000000|2.000000,7.198538|7.000000|2.000000,7,104212127744.000000,N/A,2,5
MOGP_GENERATIONAL,2104655a-1478-11f1-9378-303ea725c124,Boston,74,50,7.055313|7.000000|2.000000,0.026731014251708984,7.0,7.198538|7.000000|2.000000,7.055313|7.000000|2.000000,7.198538|7.000000|2.000000,7,31669254144.000000,N/A,2,5
MOGP_GENERATIONAL,2104655a-1478-11f1-9378-303ea725c124,Boston,74,51,7.055313|7.000000|2.000000,0.026648998260498047,7.0,7.198538|7.000000|2.000000,7.055313|7.000000|2.000000,7.198538|7.000000|2.000000,7,74397220864.000000,N/A,2,5
MOGP_GENERATIONAL,2104655a-1478-11f1-9378-303ea725c124,Boston,74,52,7.055313|7.000000|2.000000,0.026529788970947266,7.0,7.198538|7.000000|2.000000,7.055313|7.000000|2.000000,7.198538|7.000000|2.000000,7,47554908160.000000,N/A,2,5
MOGP_GENERATIONAL,2104655a-1478-11f1-9378-303ea725c124,Boston,74,53,7.055313|7.000000|2.000000,0.026711225509643555,7.0,7.198538|7.000000|2.000000,7.055313|7.000000|2.000000,7.198538|7.000000|2.000000,7,101107507200.000000,N/A,2,5
MOGP_GENERATIONAL,2104655a-1478-11f1-9378-303ea725c124,Boston,74,54,7.055313|7.000000|2.000000,0.02630162239074707,7.0,7.198538|7.000000|2.000000,7.055313|7.000000|2.000000,7.198538|7.000000|2.000000,7,32197310464.000000,N/A,2,5
MOGP_GENERATIONAL,2104655a-1478-11f1-9378-303ea725c124,Boston,74,55,7.055313|7.000000|2.000000,0.025530099868774414,7.0,7.198538|7.000000|2.000000,7.055313|7.000000|2.000000,7.198538|7.000000|2.000000,7,70190948352.000000,N/A,2,5
MOGP_GENERATIONAL,2104655a-1478-11f1-9378-303ea725c124,Boston,74,56,7.055313|7.000000|2.000000,0.02720332145690918,7.0,7.198538|7.000000|2.000000,7.055313|7.000000|2.000000,7.198538|7.000000|2.000000,7,27192576000.000000,N/A,2,5
MOGP_GENERATIONAL,2104655a-1478-11f1-9378-303ea725c124,Boston,74,57,7.055313|7.000000|2.000000,0.026395082473754883,7.0,7.198538|7.000000|2.000000,7.055313|7.000000|2.000000,7.198538|7.000000|2.000000,7,70876495872.000000,N/A,2,5
MOGP_GENERATIONAL,2104655a-1478-11f1-9378-303ea725c124,Boston,74,58,7.055313|7.000000|2.000000,0.027057886123657227,7.0,7.198538|7.000000|2.000000,7.055313|7.000000|2.000000,7.198538|7.000000|2.000000,7,94744485888.000000,N/A,2,5
MOGP_GENERATIONAL,2104655a-1478-11f1-9378-303ea725c124,Boston,74,59,7.055313|7.000000|2.000000,0.02755570411682129,7.0,7.198538|7.000000|2.000000,7.055313|7.000000|2.000000,7.198538|7.000000|2.000000,7,63215583232.000000,N/A,2,5
MOGP_GENERATIONAL,2104655a-1478-11f1-9378-303ea725c124,Boston,74,60,7.055313|7.000000|2.000000,0.02637457847595215,7.0,7.198538|7.000000|2.000000,7.055313|7.000000|2.000000,7.198538|7.000000|2.000000,7,76785180672.000000,N/A,2,5
MOGP_GENERATIONAL,2104655a-1478-11f1-9378-303ea725c124,Boston,74,61,7.055313|7.000000|2.000000,0.026978254318237305,7.0,7.198538|7.000000|2.000000,7.055313|7.000000|2.000000,7.198538|7.000000|2.000000,7,54721683456.000000,N/A,2,5
MOGP_GENERATIONAL,2104655a-1478-11f1-9378-303ea725c124,Boston,74,62,7.055313|7.000000|2.000000,0.02652883529663086,7.0,7.198538|7.000000|2.000000,7.055313|7.000000|2.000000,7.198538|7.000000|2.000000,7,35893456896.000000,N/A,2,5
MOGP_GENERATIONAL,2104655a-1478-11f1-9378-303ea725c124,Boston,74,63,7.055313|7.000000|2.000000,0.026549816131591797,7.0,7.198538|7.000000|2.000000,7.055313|7.000000|2.000000,7.198538|7.000000|2.000000,7,53879619584.000000,N/A,2,5
MOGP_GENERATIONAL,2104655a-1478-11f1-9378-303ea725c124,Boston,74,64,7.055313|7.000000|2.000000,0.02690720558166504,7.0,7.198538|7.000000|2.000000,7.055313|7.000000|2.000000,7.198538|7.000000|2.000000,7,82934284288.000000,N/A,2,5
MOGP_GENERATIONAL,2104655a-1478-11f1-9378-303ea725c124,Boston,74,65,7.055313|7.000000|2.000000,0.025870323181152344,7.0,7.198538|7.000000|2.000000,7.055313|7.000000|2.000000,7.198538|7.000000|2.000000,7,87613358080.000000,N/A,2,5
MOGP_GENERATIONAL,2104655a-1478-11f1-9378-303ea725c124,Boston,74,66,7.055313|7.000000|2.000000,0.026353120803833008,7.0,7.198538|7.000000|2.000000,7.055313|7.000000|2.000000,7.198538|7.000000|2.000000,7,69042118656.000000,N/A,2,5
MOGP_GENERATIONAL,2104655a-1478-11f1-9378-303ea725c124,Boston,74,67,7.055313|7.000000|2.000000,0.0264589786529541,7.0,7.198538|7.000000|2.000000,7.055313|7.000000|2.000000,7.198538|7.000000|2.000000,7,93423624192.000000,N/A,2,5
MOGP_GENERATIONAL,2104655a-1478-11f1-9378-303ea725c124,Boston,74,68,7.055313|7.000000|2.000000,0.026477336883544922,7.0,7.198538|7.000000|2.000000,7.055313|7.000000|2.000000,7.198538|7.000000|2.000000,7,40892211200.000000,N/A,2,5
MOGP_GENERATIONAL,2104655a-1478-11f1-9378-303ea725c124,Boston,74,69,7.055313|7.000000|2.000000,0.026581764221191406,7.0,7.198538|7.000000|2.000000,7.055313|7.000000|2.000000,7.198538|7.000000|2.000000,7,53569691648.000000,N/A,2,5
MOGP_GENERATIONAL,2104655a-1478-11f1-9378-303ea725c124,Boston,74,70,7.055313|7.000000|2.000000,0.027170181274414062,7.0,7.198538|7.000000|2.000000,7.055313|7.000000|2.000000,7.198538|7.000000|2.000000,7,91532492800.000000,N/A,2,5
MOGP_GENERATIONAL,2104655a-1478-11f1-9378-303ea725c124,Boston,74,71,7.055313|7.000000|2.000000,0.027185916900634766,7.0,7.198538|7.000000|2.000000,7.055313|7.000000|2.000000,7.198538|7.000000|2.000000,7,91324276736.000000,N/A,2,5
MOGP_GENERATIONAL,2104655a-1478-11f1-9378-303ea725c124,Boston,74,72,7.055313|7.000000|2.000000,0.02536463737487793,7.0,7.198538|7.000000|2.000000,7.055313|7.000000|2.000000,7.198538|7.000000|2.000000,7,91826397184.000000,N/A,2,5
MOGP_GENERATIONAL,2104655a-1478-11f1-9378-303ea725c124,Boston,74,73,7.055313|7.000000|2.000000,0.026241779327392578,7.0,7.198538|7.000000|2.000000,7.055313|7.000000|2.000000,7.198538|7.000000|2.000000,7,49317687296.000000,N/A,2,5
MOGP_GENERATIONAL,2104655a-1478-11f1-9378-303ea725c124,Boston,74,74,7.055313|7.000000|2.000000,0.027853012084960938,7.0,7.198538|7.000000|2.000000,7.055313|7.000000|2.000000,7.198538|7.000000|2.000000,7,23947632640.000000,N/A,2,5
MOGP_GENERATIONAL,2104655a-1478-11f1-9378-303ea725c124,Boston,74,75,7.055313|7.000000|2.000000,0.02621006965637207,7.0,7.198538|7.000000|2.000000,7.055313|7.000000|2.000000,7.198538|7.000000|2.000000,7,70037889024.000000,N/A,2,5
MOGP_GENERATIONAL,2104655a-1478-11f1-9378-303ea725c124,Boston,74,76,7.055313|7.000000|2.000000,0.025957345962524414,7.0,7.198538|7.000000|2.000000,7.055313|7.000000|2.000000,7.198538|7.000000|2.000000,7,40736059392.000000,N/A,2,5
MOGP_GENERATIONAL,2104655a-1478-11f1-9378-303ea725c124,Boston,74,77,7.055313|7.000000|2.000000,0.026611328125,7.0,7.198538|7.000000|2.000000,7.055313|7.000000|2.000000,7.198538|7.000000|2.000000,7,75044429824.000000,N/A,2,5
MOGP_GENERATIONAL,2104655a-1478-11f1-9378-303ea725c124,Boston,74,78,7.055313|7.000000|2.000000,0.026388168334960938,7.0,7.198538|7.000000|2.000000,7.055313|7.000000|2.000000,7.198538|7.000000|2.000000,7,104163246080.000000,N/A,2,5
MOGP_GENERATIONAL,2104655a-1478-11f1-9378-303ea725c124,Boston,74,79,7.055313|7.000000|2.000000,0.026646852493286133,7.0,7.198538|7.000000|2.000000,7.055313|7.000000|2.000000,7.198538|7.000000|2.000000,7,67941208064.000000,N/A,2,5
MOGP_GENERATIONAL,2104655a-1478-11f1-9378-303ea725c124,Boston,74,80,7.055313|7.000000|2.000000,0.026691913604736328,7.0,7.198538|7.000000|2.000000,7.055313|7.000000|2.000000,7.198538|7.000000|2.000000,7,110425751552.000000,N/A,2,5
MOGP_GENERATIONAL,2104655a-1478-11f1-9378-303ea725c124,Boston,74,81,7.055313|7.000000|2.000000,0.026691436767578125,7.0,7.198538|7.000000|2.000000,7.055313|7.000000|2.000000,7.198538|7.000000|2.000000,7,84740825088.000000,N/A,2,5
MOGP_GENERATIONAL,2104655a-1478-11f1-9378-303ea725c124,Boston,74,82,7.055313|7.000000|2.000000,0.025815486907958984,7.0,7.198538|7.000000|2.000000,7.055313|7.000000|2.000000,7.198538|7.000000|2.000000,7,79165923328.000000,N/A,2,5
MOGP_GENERATIONAL,2104655a-1478-11f1-9378-303ea725c124,Boston,74,83,7.055313|7.000000|2.000000,0.026618003845214844,7.0,7.198538|7.000000|2.000000,7.055313|7.000000|2.000000,7.198538|7.000000|2.000000,7,47436439552.000000,N/A,2,5
MOGP_GENERATIONAL,2104655a-1478-11f1-9378-303ea725c124,Boston,74,84,7.055313|7.000000|2.000000,0.026447534561157227,7.0,7.198538|7.000000|2.000000,7.055313|7.000000|2.000000,7.198538|7.000000|2.000000,7,81471356928.000000,N/A,2,5
MOGP_GENERATIONAL,2104655a-1478-11f1-9378-303ea725c124,Boston,74,85,7.055313|7.000000|2.000000,0.027415990829467773,7.0,7.198538|7.000000|2.000000,7.055313|7.000000|2.000000,7.198538|7.000000|2.000000,7,88538734592.000000,N/A,2,5
MOGP_GENERATIONAL,2104655a-1478-11f1-9378-303ea725c124,Boston,74,86,7.055313|7.000000|2.000000,0.025743484497070312,7.0,7.198538|7.000000|2.000000,7.055313|7.000000|2.000000,7.198538|7.000000|2.000000,7,101110112256.000000,N/A,2,5
MOGP_GENERATIONAL,2104655a-1478-11f1-9378-303ea725c124,Boston,74,87,7.055313|7.000000|2.000000,0.025728464126586914,7.0,7.198538|7.000000|2.000000,7.055313|7.000000|2.000000,7.198538|7.000000|2.000000,7,83768098816.000000,N/A,2,5
MOGP_GENERATIONAL,2104655a-1478-11f1-9378-303ea725c124,Boston,74,88,7.055313|7.000000|2.000000,0.026686429977416992,7.0,7.198538|7.000000|2.000000,7.055313|7.000000|2.000000,7.198538|7.000000|2.000000,7,66041274368.000000,N/A,2,5
MOGP_GENERATIONAL,2104655a-1478-11f1-9378-303ea725c124,Boston,74,89,7.055313|7.000000|2.000000,0.02638864517211914,7.0,7.198538|7.000000|2.000000,7.055313|7.000000|2.000000,7.198538|7.000000|2.000000,7,88930263040.000000,N/A,2,5
MOGP_GENERATIONAL,2104655a-1478-11f1-9378-303ea725c124,Boston,74,90,7.055313|7.000000|2.000000,0.02615952491760254,7.0,7.198538|7.000000|2.000000,7.055313|7.000000|2.000000,7.198538|7.000000|2.000000,7,59079217152.000000,N/A,2,5
MOGP_GENERATIONAL,2104655a-1478-11f1-9378-303ea725c124,Boston,74,91,7.055313|7.000000|2.000000,0.027904748916625977,7.0,7.198538|7.000000|2.000000,7.055313|7.000000|2.000000,7.198538|7.000000|2.000000,7,88645009408.000000,N/A,2,5
MOGP_GENERATIONAL,2104655a-1478-11f1-9378-303ea725c124,Boston,74,92,7.055313|7.000000|2.000000,0.026291847229003906,7.0,7.198538|7.000000|2.000000,7.055313|7.000000|2.000000,7.198538|7.000000|2.000000,7,85790105600.000000,N/A,2,5
MOGP_GENERATIONAL,2104655a-1478-11f1-9378-303ea725c124,Boston,74,93,7.055313|7.000000|2.000000,0.02610945701599121,7.0,7.198538|7.000000|2.000000,7.055313|7.000000|2.000000,7.198538|7.000000|2.000000,7,49424330752.000000,N/A,2,5
