MOGP_NSGAII,e74113ba-e996-11f0-a117-6e001b3eef54,Cooling,74,87,4.565099|3.000000,5.141922950744629,3.0,4.504544|3.000000,3.767897|7.000000,7,0.039656,N/A,5
MOGP_NSGAII,e74113ba-e996-11f0-a117-6e001b3eef54,Cooling,74,88,4.565099|3.000000,5.557901859283447,3.0,4.504544|3.000000,3.767897|7.000000,7,0.039656,N/A,5
MOGP_NSGAII,e74113ba-e996-11f0-a117-6e001b3eef54,Cooling,74,89,4.565099|3.000000,5.273224115371704,3.0,4.504544|3.000000,3.767897|7.000000,7,0.039656,N/A,5
MOGP_NSGAII,e74113ba-e996-11f0-a117-6e001b3eef54,Cooling,74,90,4.565099|3.000000,5.123763084411621,3.0,4.504544|3.000000,3.767897|7.000000,7,0.039656,N/A,5
MOGP_NSGAII,e74113ba-e996-11f0-a117-6e001b3eef54,Cooling,74,91,4.565099|3.000000,5.194722652435303,3.0,4.504544|3.000000,3.767897|7.000000,7,0.039656,N/A,5
MOGP_NSGAII,e74113ba-e996-11f0-a117-6e001b3eef54,Cooling,74,92,4.565099|3.000000,5.222182035446167,3.0,4.504544|3.000000,3.767897|7.000000,7,0.039656,N/A,5
MOGP_NSGAII,e74113ba-e996-11f0-a117-6e001b3eef54,Cooling,74,93,4.565099|3.000000,5.242089033126831,3.0,4.504544|3.000000,3.767897|7.000000,7,0.039656,N/A,5
MOGP_NSGAII,e74113ba-e996-11f0-a117-6e001b3eef54,Cooling,74,94,4.565099|3.000000,5.2219460010528564,3.0,4.504544|3.000000,3.767897|7.000000,7,0.039656,N/A,5
MOGP_NSGAII,e74113ba-e996-11f0-a117-6e001b3eef54,Cooling,74,95,4.565099|3.000000,5.198746919631958,3.0,4.504544|3.000000,3.767897|7.000000,7,0.039656,N/A,5
MOGP_NSGAII,e74113ba-e996-11f0-a117-6e001b3eef54,Cooling,74,96,4.565099|3.000000,5.180324077606201,3.0,4.504544|3.000000,3.767897|7.000000,7,0.039656,N/A,5
MOGP_NSGAII,e74113ba-e996-11f0-a117-6e001b3eef54,Cooling,74,97,4.565099|3.000000,5.22893214225769,3.0,4.504544|3.000000,3.767897|7.000000,7,0.039656,N/A,5
MOGP_NSGAII,e74113ba-e996-11f0-a117-6e001b3eef54,Cooling,74,98,4.565099|3.000000,5.125050067901611,3.0,4.504544|3.000000,3.767897|7.000000,7,0.039656,N/A,5
MOGP_NSGAII,e74113ba-e996-11f0-a117-6e001b3eef54,Cooling,74,99,4.565099|3.000000,5.022192001342773,3.0,4.504544|3.000000,3.767897|7.000000,7,0.039656,N/A,5
MOGP_NSGAII,e74113ba-e996-11f0-a117-6e001b3eef54,Cooling,74,100,4.565099|3.000000,5.19562292098999,3.0,4.504544|3.000000,3.767897|7.000000,7,0.039656,N/A,5
MOGP_NSGAII,e74113ba-e996-11f0-a117-6e001b3eef54,Cooling,74,101,4.565099|3.000000,5.125771999359131,3.0,4.504544|3.000000,3.767897|7.000000,7,0.039656,N/A,5
MOGP_NSGAII,e74113ba-e996-11f0-a117-6e001b3eef54,Cooling,74,102,4.565099|3.000000,5.325065851211548,3.0,4.504544|3.000000,3.767897|7.000000,7,0.039656,N/A,5
MOGP_NSGAII,e74113ba-e996-11f0-a117-6e001b3eef54,Cooling,74,103,4.565099|3.000000,5.192678928375244,3.0,4.504544|3.000000,3.767897|7.000000,7,0.039656,N/A,5
MOGP_NSGAII,e74113ba-e996-11f0-a117-6e001b3eef54,Cooling,74,104,4.565099|3.000000,5.134189128875732,3.0,4.504544|3.000000,3.767897|7.000000,7,0.039656,N/A,5
MOGP_NSGAII,e74113ba-e996-11f0-a117-6e001b3eef54,Cooling,74,105,4.565099|3.000000,5.075140714645386,3.0,4.504544|3.000000,3.767897|7.000000,7,0.039656,N/A,5
MOGP_NSGAII,e74113ba-e996-11f0-a117-6e001b3eef54,Cooling,74,106,4.565099|3.000000,5.084848165512085,3.0,4.504544|3.000000,3.767897|7.000000,7,0.039656,N/A,5
MOGP_NSGAII,e74113ba-e996-11f0-a117-6e001b3eef54,Cooling,74,107,4.565099|3.000000,5.146965026855469,3.0,4.504544|3.000000,3.767897|7.000000,7,0.039656,N/A,5
