MOGP_NSGAII,9a5dc54a-e890-11f0-be05-6e001b3eef54,Cooling,74,115,4.507786|3.000000,8.698857069015503,3.0,4.636782|3.000000,4.621466|7.000000,7,0.000690,N/A,5
MOGP_NSGAII,9a5dc54a-e890-11f0-be05-6e001b3eef54,Cooling,74,116,4.507786|3.000000,8.400243997573853,3.0,4.636782|3.000000,4.621466|7.000000,7,0.000690,N/A,5
MOGP_NSGAII,9a5dc54a-e890-11f0-be05-6e001b3eef54,Cooling,74,117,4.507786|3.000000,8.441702365875244,3.0,4.636782|3.000000,4.621466|7.000000,7,0.000690,N/A,5
MOGP_NSGAII,9a5dc54a-e890-11f0-be05-6e001b3eef54,Cooling,74,118,4.507786|3.000000,8.664786100387573,3.0,4.636782|3.000000,4.621466|7.000000,7,0.000690,N/A,5
MOGP_NSGAII,9a5dc54a-e890-11f0-be05-6e001b3eef54,Cooling,74,119,4.507786|3.000000,8.232048988342285,3.0,4.636782|3.000000,4.621466|7.000000,7,0.000690,N/A,5
MOGP_NSGAII,9a5dc54a-e890-11f0-be05-6e001b3eef54,Cooling,74,120,4.507786|3.000000,8.18102502822876,3.0,4.636782|3.000000,4.621466|7.000000,7,0.000690,N/A,5
MOGP_NSGAII,9a5dc54a-e890-11f0-be05-6e001b3eef54,Cooling,74,121,4.507786|3.000000,8.506301879882812,3.0,4.636782|3.000000,4.621466|7.000000,7,0.000690,N/A,5
MOGP_NSGAII,9a5dc54a-e890-11f0-be05-6e001b3eef54,Cooling,74,122,4.507786|3.000000,8.99198317527771,3.0,4.636782|3.000000,4.621466|7.000000,7,0.000690,N/A,5
MOGP_NSGAII,9a5dc54a-e890-11f0-be05-6e001b3eef54,Cooling,74,123,4.507786|3.000000,8.91737699508667,3.0,4.636782|3.000000,4.621466|7.000000,7,0.000690,N/A,5
MOGP_NSGAII,9a5dc54a-e890-11f0-be05-6e001b3eef54,Cooling,74,124,4.507786|3.000000,8.816190958023071,3.0,4.636782|3.000000,4.621466|7.000000,7,0.000690,N/A,5
MOGP_NSGAII,9a5dc54a-e890-11f0-be05-6e001b3eef54,Cooling,74,125,4.507786|3.000000,8.957650184631348,3.0,4.636782|3.000000,4.621466|7.000000,7,0.000690,N/A,5
