MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,47,4.507786|3.000000,0.0192410945892334,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,35552051200.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,48,4.507786|3.000000,0.0199432373046875,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,111102435328.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,49,4.507786|3.000000,0.019208908081054688,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,70986219520.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,50,4.507786|3.000000,0.019572973251342773,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,86297681920.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,51,4.507786|3.000000,0.018637657165527344,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,83356442624.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,52,4.507786|3.000000,0.019269704818725586,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,111221202944.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,53,4.507786|3.000000,0.01999974250793457,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,118708846592.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,54,4.507786|3.000000,0.01916360855102539,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,79802818560.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,55,4.507786|3.000000,0.01980733871459961,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,111718400000.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,56,4.507786|3.000000,0.018677234649658203,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,88389263360.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,57,4.507786|3.000000,0.020347118377685547,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,97693917184.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,58,4.507786|3.000000,0.01907038688659668,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,62196334592.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,59,4.507786|3.000000,0.019421815872192383,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,103253262336.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,60,4.507786|3.000000,0.019076108932495117,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,99540631552.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,61,4.507786|3.000000,0.019290685653686523,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,85361025024.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,62,4.507786|3.000000,0.01874256134033203,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,89363505152.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,63,4.507786|3.000000,0.01955103874206543,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,55239245824.000000,N/A,1,5
