MOGP_NSGAII,8cca0d4a-e7fe-11f0-a37d-6e001b3eef54,Cooling,74,84,4.365190|3.000000,5.340780735015869,3.0,4.943788|3.000000,4.943788|3.000000,3,0.000000,N/A,5
MOGP_NSGAII,8cca0d4a-e7fe-11f0-a37d-6e001b3eef54,Cooling,74,85,4.365190|3.000000,5.145550012588501,3.0,4.943788|3.000000,4.943788|3.000000,3,0.000000,N/A,5
MOGP_NSGAII,8cca0d4a-e7fe-11f0-a37d-6e001b3eef54,Cooling,74,86,4.365190|3.000000,5.1919028759002686,3.0,4.943788|3.000000,4.943788|3.000000,3,0.000000,N/A,5
MOGP_NSGAII,8cca0d4a-e7fe-11f0-a37d-6e001b3eef54,Cooling,74,87,4.365190|3.000000,5.186160087585449,3.0,4.943788|3.000000,4.943788|3.000000,3,0.000000,N/A,5
MOGP_NSGAII,8cca0d4a-e7fe-11f0-a37d-6e001b3eef54,Cooling,74,88,4.365190|3.000000,5.20201301574707,3.0,4.943788|3.000000,4.943788|3.000000,3,0.000000,N/A,5
MOGP_NSGAII,8cca0d4a-e7fe-11f0-a37d-6e001b3eef54,Cooling,74,89,4.365190|3.000000,5.389787912368774,3.0,4.943788|3.000000,4.943788|3.000000,3,0.000000,N/A,5
MOGP_NSGAII,8cca0d4a-e7fe-11f0-a37d-6e001b3eef54,Cooling,74,90,4.365190|3.000000,5.107206106185913,3.0,4.943788|3.000000,4.943788|3.000000,3,0.000000,N/A,5
MOGP_NSGAII,8cca0d4a-e7fe-11f0-a37d-6e001b3eef54,Cooling,74,91,4.365190|3.000000,5.223118782043457,3.0,4.943788|3.000000,4.943788|3.000000,3,0.000000,N/A,5
MOGP_NSGAII,8cca0d4a-e7fe-11f0-a37d-6e001b3eef54,Cooling,74,92,4.365190|3.000000,5.344046115875244,3.0,4.943788|3.000000,4.943788|3.000000,3,0.000000,N/A,5
MOGP_NSGAII,8cca0d4a-e7fe-11f0-a37d-6e001b3eef54,Cooling,74,93,4.365190|3.000000,5.316515207290649,3.0,4.943788|3.000000,4.943788|3.000000,3,0.000000,N/A,5
MOGP_NSGAII,8cca0d4a-e7fe-11f0-a37d-6e001b3eef54,Cooling,74,94,4.365190|3.000000,5.289396047592163,3.0,4.943788|3.000000,4.943788|3.000000,3,0.000000,N/A,5
MOGP_NSGAII,8cca0d4a-e7fe-11f0-a37d-6e001b3eef54,Cooling,74,95,4.365190|3.000000,5.114294052124023,3.0,4.943788|3.000000,4.943788|3.000000,3,0.000000,N/A,5
