MOGP_GENERATIONAL,01fa2570-1430-11f1-9378-303ea725c124,Cooling,74,79,4.565099|3.000000,0.02012491226196289,3.0,4.504544|3.000000,4.565099|3.000000,4.504544|3.000000,3,87542153216.000000,N/A,1,5
MOGP_GENERATIONAL,01fa2570-1430-11f1-9378-303ea725c124,Cooling,74,80,4.565099|3.000000,0.01869487762451172,3.0,4.504544|3.000000,4.565099|3.000000,4.504544|3.000000,3,90504585216.000000,N/A,1,5
MOGP_GENERATIONAL,01fa2570-1430-11f1-9378-303ea725c124,Cooling,74,81,4.565099|3.000000,0.020095109939575195,3.0,4.504544|3.000000,4.565099|3.000000,4.504544|3.000000,3,127565643776.000000,N/A,1,5
MOGP_GENERATIONAL,01fa2570-1430-11f1-9378-303ea725c124,Cooling,74,82,4.565099|3.000000,0.019389629364013672,3.0,4.504544|3.000000,4.565099|3.000000,4.504544|3.000000,3,105464725504.000000,N/A,1,5
MOGP_GENERATIONAL,01fa2570-1430-11f1-9378-303ea725c124,Cooling,74,83,4.565099|3.000000,0.019403696060180664,3.0,4.504544|3.000000,4.565099|3.000000,4.504544|3.000000,3,50005807104.000000,N/A,1,5
MOGP_GENERATIONAL,01fa2570-1430-11f1-9378-303ea725c124,Cooling,74,84,4.565099|3.000000,0.019559621810913086,3.0,4.504544|3.000000,4.565099|3.000000,4.504544|3.000000,3,87628021760.000000,N/A,1,5
MOGP_GENERATIONAL,01fa2570-1430-11f1-9378-303ea725c124,Cooling,74,85,4.565099|3.000000,0.01984405517578125,3.0,4.504544|3.000000,4.565099|3.000000,4.504544|3.000000,3,75758436352.000000,N/A,1,5
MOGP_GENERATIONAL,01fa2570-1430-11f1-9378-303ea725c124,Cooling,74,86,4.565099|3.000000,0.021026611328125,3.0,4.504544|3.000000,4.565099|3.000000,4.504544|3.000000,3,126259896320.000000,N/A,1,5
MOGP_GENERATIONAL,01fa2570-1430-11f1-9378-303ea725c124,Cooling,74,87,4.565099|3.000000,0.019179105758666992,3.0,4.504544|3.000000,4.565099|3.000000,4.504544|3.000000,3,104943468544.000000,N/A,1,5
MOGP_GENERATIONAL,01fa2570-1430-11f1-9378-303ea725c124,Cooling,74,88,4.565099|3.000000,0.01905989646911621,3.0,4.504544|3.000000,4.565099|3.000000,4.504544|3.000000,3,98780045312.000000,N/A,1,5
MOGP_GENERATIONAL,01fa2570-1430-11f1-9378-303ea725c124,Cooling,74,89,4.565099|3.000000,0.01935601234436035,3.0,4.504544|3.000000,4.565099|3.000000,4.504544|3.000000,3,95943950336.000000,N/A,1,5
MOGP_GENERATIONAL,01fa2570-1430-11f1-9378-303ea725c124,Cooling,74,90,4.565099|3.000000,0.019176483154296875,3.0,4.504544|3.000000,4.565099|3.000000,4.504544|3.000000,3,95625396224.000000,N/A,1,5
MOGP_GENERATIONAL,01fa2570-1430-11f1-9378-303ea725c124,Cooling,74,91,4.565099|3.000000,0.019015073776245117,3.0,4.504544|3.000000,4.565099|3.000000,4.504544|3.000000,3,96132907008.000000,N/A,1,5
MOGP_GENERATIONAL,01fa2570-1430-11f1-9378-303ea725c124,Cooling,74,92,4.565099|3.000000,0.02025890350341797,3.0,4.504544|3.000000,4.565099|3.000000,4.504544|3.000000,3,115118194688.000000,N/A,1,5
MOGP_GENERATIONAL,01fa2570-1430-11f1-9378-303ea725c124,Cooling,74,93,4.565099|3.000000,0.018970489501953125,3.0,4.504544|3.000000,4.565099|3.000000,4.504544|3.000000,3,49937469440.000000,N/A,1,5
MOGP_GENERATIONAL,01fa2570-1430-11f1-9378-303ea725c124,Cooling,74,94,4.565099|3.000000,0.018718719482421875,3.0,4.504544|3.000000,4.565099|3.000000,4.504544|3.000000,3,85484240896.000000,N/A,1,5
MOGP_GENERATIONAL,01fa2570-1430-11f1-9378-303ea725c124,Cooling,74,95,4.565099|3.000000,0.020276308059692383,3.0,4.504544|3.000000,4.565099|3.000000,4.504544|3.000000,3,137732685824.000000,N/A,1,5
MOGP_GENERATIONAL,01fa2570-1430-11f1-9378-303ea725c124,Cooling,74,96,4.565099|3.000000,0.019164562225341797,3.0,4.504544|3.000000,4.565099|3.000000,4.504544|3.000000,3,81825374208.000000,N/A,1,5
MOGP_GENERATIONAL,01fa2570-1430-11f1-9378-303ea725c124,Cooling,74,97,4.565099|3.000000,0.019041061401367188,3.0,4.504544|3.000000,4.565099|3.000000,4.504544|3.000000,3,102306365440.000000,N/A,1,5
MOGP_GENERATIONAL,01fa2570-1430-11f1-9378-303ea725c124,Cooling,74,98,4.565099|3.000000,0.019387006759643555,3.0,4.504544|3.000000,4.565099|3.000000,4.504544|3.000000,3,108788039680.000000,N/A,1,5
MOGP_GENERATIONAL,01fa2570-1430-11f1-9378-303ea725c124,Cooling,74,99,4.565099|3.000000,0.01925492286682129,3.0,4.504544|3.000000,4.565099|3.000000,4.504544|3.000000,3,48234856448.000000,N/A,1,5
MOGP_GENERATIONAL,01fa2570-1430-11f1-9378-303ea725c124,Cooling,74,100,4.565099|3.000000,0.020843982696533203,3.0,4.504544|3.000000,4.565099|3.000000,4.504544|3.000000,3,103832150016.000000,N/A,1,5
MOGP_GENERATIONAL,01fa2570-1430-11f1-9378-303ea725c124,Cooling,74,101,4.565099|3.000000,0.018866300582885742,3.0,4.504544|3.000000,4.565099|3.000000,4.504544|3.000000,3,83009388544.000000,N/A,1,5
MOGP_GENERATIONAL,01fa2570-1430-11f1-9378-303ea725c124,Cooling,74,102,4.565099|3.000000,0.019091367721557617,3.0,4.504544|3.000000,4.565099|3.000000,4.504544|3.000000,3,90157588480.000000,N/A,1,5
