MOGP_GENERATIONAL,7e9c1fca-1525-11f1-9378-303ea725c124,Cooling,74,71,4.487415|7.000000|3.000000,0.02597832679748535,7.0,4.989985|7.000000|3.000000,4.487415|7.000000|3.000000,4.989985|7.000000|3.000000,7,116739997696.000000,N/A,2,5
MOGP_GENERATIONAL,7e9c1fca-1525-11f1-9378-303ea725c124,Cooling,74,72,4.487415|7.000000|3.000000,0.026033401489257812,7.0,4.989985|7.000000|3.000000,4.487415|7.000000|3.000000,4.989985|7.000000|3.000000,7,73723543552.000000,N/A,2,5
MOGP_GENERATIONAL,7e9c1fca-1525-11f1-9378-303ea725c124,Cooling,74,73,4.487415|7.000000|3.000000,0.027469873428344727,7.0,4.989985|7.000000|3.000000,4.487415|7.000000|3.000000,4.989985|7.000000|3.000000,7,74458365952.000000,N/A,2,5
MOGP_GENERATIONAL,7e9c1fca-1525-11f1-9378-303ea725c124,Cooling,74,74,4.487415|7.000000|3.000000,0.027552366256713867,7.0,4.989985|7.000000|3.000000,4.487415|7.000000|3.000000,4.989985|7.000000|3.000000,7,101457412096.000000,N/A,2,5
MOGP_GENERATIONAL,7e9c1fca-1525-11f1-9378-303ea725c124,Cooling,74,75,4.487415|7.000000|3.000000,0.02536606788635254,7.0,4.989985|7.000000|3.000000,4.487415|7.000000|3.000000,4.989985|7.000000|3.000000,7,37391638528.000000,N/A,2,5
MOGP_GENERATIONAL,7e9c1fca-1525-11f1-9378-303ea725c124,Cooling,74,76,4.487415|7.000000|3.000000,0.026955127716064453,7.0,4.989985|7.000000|3.000000,4.487415|7.000000|3.000000,4.989985|7.000000|3.000000,7,66163748864.000000,N/A,2,5
MOGP_GENERATIONAL,7e9c1fca-1525-11f1-9378-303ea725c124,Cooling,74,77,4.487415|7.000000|3.000000,0.027066707611083984,7.0,4.989985|7.000000|3.000000,4.487415|7.000000|3.000000,4.989985|7.000000|3.000000,7,86877405184.000000,N/A,2,5
MOGP_GENERATIONAL,7e9c1fca-1525-11f1-9378-303ea725c124,Cooling,74,78,4.487415|7.000000|3.000000,0.027563810348510742,7.0,4.989985|7.000000|3.000000,4.487415|7.000000|3.000000,4.989985|7.000000|3.000000,7,116872757248.000000,N/A,2,5
MOGP_GENERATIONAL,7e9c1fca-1525-11f1-9378-303ea725c124,Cooling,74,79,4.487415|7.000000|3.000000,0.02701568603515625,7.0,4.989985|7.000000|3.000000,4.487415|7.000000|3.000000,4.989985|7.000000|3.000000,7,99498647552.000000,N/A,2,5
MOGP_GENERATIONAL,7e9c1fca-1525-11f1-9378-303ea725c124,Cooling,74,80,4.487415|7.000000|3.000000,0.027592182159423828,7.0,4.989985|7.000000|3.000000,4.487415|7.000000|3.000000,4.989985|7.000000|3.000000,7,93718044672.000000,N/A,2,5
MOGP_GENERATIONAL,7e9c1fca-1525-11f1-9378-303ea725c124,Cooling,74,81,4.487415|7.000000|3.000000,0.02606821060180664,7.0,4.989985|7.000000|3.000000,4.487415|7.000000|3.000000,4.989985|7.000000|3.000000,7,128123838464.000000,N/A,2,5
MOGP_GENERATIONAL,7e9c1fca-1525-11f1-9378-303ea725c124,Cooling,74,82,4.487415|7.000000|3.000000,0.026604890823364258,7.0,4.989985|7.000000|3.000000,4.487415|7.000000|3.000000,4.989985|7.000000|3.000000,7,111683002368.000000,N/A,2,5
MOGP_GENERATIONAL,7e9c1fca-1525-11f1-9378-303ea725c124,Cooling,74,83,4.487415|7.000000|3.000000,0.027379989624023438,7.0,4.989985|7.000000|3.000000,4.487415|7.000000|3.000000,4.989985|7.000000|3.000000,7,115445604352.000000,N/A,2,5
MOGP_GENERATIONAL,7e9c1fca-1525-11f1-9378-303ea725c124,Cooling,74,84,4.487415|7.000000|3.000000,0.027097702026367188,7.0,4.989985|7.000000|3.000000,4.487415|7.000000|3.000000,4.989985|7.000000|3.000000,7,82752053248.000000,N/A,2,5
MOGP_GENERATIONAL,7e9c1fca-1525-11f1-9378-303ea725c124,Cooling,74,85,4.487415|7.000000|3.000000,0.026792287826538086,7.0,4.989985|7.000000|3.000000,4.487415|7.000000|3.000000,4.989985|7.000000|3.000000,7,78985404416.000000,N/A,2,5
MOGP_GENERATIONAL,7e9c1fca-1525-11f1-9378-303ea725c124,Cooling,74,86,4.487415|7.000000|3.000000,0.02623128890991211,7.0,4.989985|7.000000|3.000000,4.487415|7.000000|3.000000,4.989985|7.000000|3.000000,7,118438658048.000000,N/A,2,5
MOGP_GENERATIONAL,7e9c1fca-1525-11f1-9378-303ea725c124,Cooling,74,87,4.487415|7.000000|3.000000,0.028029680252075195,7.0,4.989985|7.000000|3.000000,4.487415|7.000000|3.000000,4.989985|7.000000|3.000000,7,94511259648.000000,N/A,2,5
MOGP_GENERATIONAL,7e9c1fca-1525-11f1-9378-303ea725c124,Cooling,74,88,4.487415|7.000000|3.000000,0.026275634765625,7.0,4.989985|7.000000|3.000000,4.487415|7.000000|3.000000,4.989985|7.000000|3.000000,7,70533652480.000000,N/A,2,5
MOGP_GENERATIONAL,7e9c1fca-1525-11f1-9378-303ea725c124,Cooling,74,89,4.487415|7.000000|3.000000,0.027211666107177734,7.0,4.989985|7.000000|3.000000,4.487415|7.000000|3.000000,4.989985|7.000000|3.000000,7,69015568384.000000,N/A,2,5
MOGP_GENERATIONAL,7e9c1fca-1525-11f1-9378-303ea725c124,Cooling,74,90,4.487415|7.000000|3.000000,0.026151180267333984,7.0,4.989985|7.000000|3.000000,4.487415|7.000000|3.000000,4.989985|7.000000|3.000000,7,70533275648.000000,N/A,2,5
MOGP_GENERATIONAL,7e9c1fca-1525-11f1-9378-303ea725c124,Cooling,74,91,4.487415|7.000000|3.000000,0.026792287826538086,7.0,4.989985|7.000000|3.000000,4.487415|7.000000|3.000000,4.989985|7.000000|3.000000,7,97163255808.000000,N/A,2,5
MOGP_GENERATIONAL,7e9c1fca-1525-11f1-9378-303ea725c124,Cooling,74,92,4.487415|7.000000|3.000000,0.027104616165161133,7.0,4.989985|7.000000|3.000000,4.487415|7.000000|3.000000,4.989985|7.000000|3.000000,7,24104386560.000000,N/A,2,5
MOGP_GENERATIONAL,7e9c1fca-1525-11f1-9378-303ea725c124,Cooling,74,93,4.487415|7.000000|3.000000,0.02650141716003418,7.0,4.989985|7.000000|3.000000,4.487415|7.000000|3.000000,4.989985|7.000000|3.000000,7,1393090.375000,N/A,2,5
MOGP_GENERATIONAL,7e9c1fca-1525-11f1-9378-303ea725c124,Cooling,74,94,4.487415|7.000000|3.000000,0.027382373809814453,7.0,4.989985|7.000000|3.000000,4.487415|7.000000|3.000000,4.989985|7.000000|3.000000,7,96829415424.000000,N/A,2,5
MOGP_GENERATIONAL,7e9c1fca-1525-11f1-9378-303ea725c124,Cooling,74,95,4.487415|7.000000|3.000000,0.026549100875854492,7.0,4.989985|7.000000|3.000000,4.487415|7.000000|3.000000,4.989985|7.000000|3.000000,7,48047230976.000000,N/A,2,5
MOGP_GENERATIONAL,7e9c1fca-1525-11f1-9378-303ea725c124,Cooling,74,96,4.487415|7.000000|3.000000,0.02695918083190918,7.0,4.989985|7.000000|3.000000,4.487415|7.000000|3.000000,4.989985|7.000000|3.000000,7,120832090112.000000,N/A,2,5
MOGP_GENERATIONAL,7e9c1fca-1525-11f1-9378-303ea725c124,Cooling,74,97,4.487415|7.000000|3.000000,0.02669358253479004,7.0,4.989985|7.000000|3.000000,4.487415|7.000000|3.000000,4.989985|7.000000|3.000000,7,70533332992.000000,N/A,2,5
MOGP_GENERATIONAL,7e9c1fca-1525-11f1-9378-303ea725c124,Cooling,74,98,4.487415|7.000000|3.000000,0.02617645263671875,7.0,4.989985|7.000000|3.000000,4.487415|7.000000|3.000000,4.989985|7.000000|3.000000,7,61220753408.000000,N/A,2,5
MOGP_GENERATIONAL,7e9c1fca-1525-11f1-9378-303ea725c124,Cooling,74,99,4.487415|7.000000|3.000000,0.026340961456298828,7.0,4.989985|7.000000|3.000000,4.487415|7.000000|3.000000,4.989985|7.000000|3.000000,7,96680919040.000000,N/A,2,5
