MOGP_GENERATIONAL,7c59d162-143a-11f1-9378-303ea725c124,Cooling,74,45,4.541265|3.000000|1.000000,0.0269167423248291,3.0,4.560205|3.000000|1.000000,4.541265|3.000000|1.000000,4.560205|3.000000|1.000000,3,102276423680.000000,N/A,2,5
MOGP_GENERATIONAL,7c59d162-143a-11f1-9378-303ea725c124,Cooling,74,46,4.541265|3.000000|1.000000,0.02764415740966797,3.0,4.560205|3.000000|1.000000,4.541265|3.000000|1.000000,4.560205|3.000000|1.000000,3,90619641856.000000,N/A,2,5
MOGP_GENERATIONAL,7c59d162-143a-11f1-9378-303ea725c124,Cooling,74,47,4.541265|3.000000|1.000000,0.026808500289916992,3.0,4.560205|3.000000|1.000000,4.541265|3.000000|1.000000,4.560205|3.000000|1.000000,3,49937473536.000000,N/A,2,5
MOGP_GENERATIONAL,7c59d162-143a-11f1-9378-303ea725c124,Cooling,74,48,4.541265|3.000000|1.000000,0.027943849563598633,3.0,4.560205|3.000000|1.000000,4.541265|3.000000|1.000000,4.560205|3.000000|1.000000,3,111755272192.000000,N/A,2,5
MOGP_GENERATIONAL,7c59d162-143a-11f1-9378-303ea725c124,Cooling,74,49,4.541265|3.000000|1.000000,0.026906728744506836,3.0,4.560205|3.000000|1.000000,4.541265|3.000000|1.000000,4.560205|3.000000|1.000000,3,106229735424.000000,N/A,2,5
MOGP_GENERATIONAL,7c59d162-143a-11f1-9378-303ea725c124,Cooling,74,50,4.541265|3.000000|1.000000,0.02660536766052246,3.0,4.560205|3.000000|1.000000,4.541265|3.000000|1.000000,4.560205|3.000000|1.000000,3,83484704768.000000,N/A,2,5
MOGP_GENERATIONAL,7c59d162-143a-11f1-9378-303ea725c124,Cooling,74,51,4.541265|3.000000|1.000000,0.02757406234741211,3.0,4.560205|3.000000|1.000000,4.541265|3.000000|1.000000,4.560205|3.000000|1.000000,3,104193736704.000000,N/A,2,5
MOGP_GENERATIONAL,7c59d162-143a-11f1-9378-303ea725c124,Cooling,74,52,4.541265|3.000000|1.000000,0.02747321128845215,3.0,4.560205|3.000000|1.000000,4.541265|3.000000|1.000000,4.560205|3.000000|1.000000,3,136090525696.000000,N/A,2,5
MOGP_GENERATIONAL,7c59d162-143a-11f1-9378-303ea725c124,Cooling,74,53,4.541265|3.000000|1.000000,0.02655649185180664,3.0,4.560205|3.000000|1.000000,4.541265|3.000000|1.000000,4.560205|3.000000|1.000000,3,130621399040.000000,N/A,2,5
MOGP_GENERATIONAL,7c59d162-143a-11f1-9378-303ea725c124,Cooling,74,54,4.541265|3.000000|1.000000,0.027638673782348633,3.0,4.560205|3.000000|1.000000,4.541265|3.000000|1.000000,4.560205|3.000000|1.000000,3,57489747968.000000,N/A,2,5
