MOGP_GENERATIONAL,68ca36b8-13eb-11f1-9378-303ea725c124,Boston,74,51,7.545539|7.000000|1.000000,0.026634693145751953,7.0,8.822909|7.000000|1.000000,7.545539|7.000000|1.000000,8.822909|7.000000|1.000000,7,69983625216.000000,N/A,2,5
MOGP_GENERATIONAL,68ca36b8-13eb-11f1-9378-303ea725c124,Boston,74,52,7.545539|7.000000|1.000000,0.02645111083984375,7.0,8.822909|7.000000|1.000000,7.545539|7.000000|1.000000,8.822909|7.000000|1.000000,7,49935335424.000000,N/A,2,5
MOGP_GENERATIONAL,68ca36b8-13eb-11f1-9378-303ea725c124,Boston,74,53,7.545539|7.000000|1.000000,0.027066469192504883,7.0,8.822909|7.000000|1.000000,7.545539|7.000000|1.000000,8.822909|7.000000|1.000000,7,78875656192.000000,N/A,2,5
MOGP_GENERATIONAL,68ca36b8-13eb-11f1-9378-303ea725c124,Boston,74,54,7.545539|7.000000|1.000000,0.02633380889892578,7.0,8.822909|7.000000|1.000000,7.545539|7.000000|1.000000,8.822909|7.000000|1.000000,7,30529892352.000000,N/A,2,5
MOGP_GENERATIONAL,68ca36b8-13eb-11f1-9378-303ea725c124,Boston,74,55,7.545539|7.000000|1.000000,0.02557969093322754,7.0,8.822909|7.000000|1.000000,7.545539|7.000000|1.000000,8.822909|7.000000|1.000000,7,54151924.000000,N/A,2,5
MOGP_GENERATIONAL,68ca36b8-13eb-11f1-9378-303ea725c124,Boston,74,56,7.545539|7.000000|1.000000,0.027144908905029297,7.0,8.822909|7.000000|1.000000,7.545539|7.000000|1.000000,8.822909|7.000000|1.000000,7,94114471936.000000,N/A,2,5
MOGP_GENERATIONAL,68ca36b8-13eb-11f1-9378-303ea725c124,Boston,74,57,7.545539|7.000000|1.000000,0.026238441467285156,7.0,8.822909|7.000000|1.000000,7.545539|7.000000|1.000000,8.822909|7.000000|1.000000,7,106562117632.000000,N/A,2,5
MOGP_GENERATIONAL,68ca36b8-13eb-11f1-9378-303ea725c124,Boston,74,58,7.545539|7.000000|1.000000,0.026917219161987305,7.0,8.822909|7.000000|1.000000,7.545539|7.000000|1.000000,8.822909|7.000000|1.000000,7,102115278848.000000,N/A,2,5
MOGP_GENERATIONAL,68ca36b8-13eb-11f1-9378-303ea725c124,Boston,74,59,7.545539|7.000000|1.000000,0.02744770050048828,7.0,8.822909|7.000000|1.000000,7.545539|7.000000|1.000000,8.822909|7.000000|1.000000,7,75621236736.000000,N/A,2,5
MOGP_GENERATIONAL,68ca36b8-13eb-11f1-9378-303ea725c124,Boston,74,60,7.545539|7.000000|1.000000,0.026256799697875977,7.0,8.822909|7.000000|1.000000,7.545539|7.000000|1.000000,8.822909|7.000000|1.000000,7,71248912384.000000,N/A,2,5
MOGP_GENERATIONAL,68ca36b8-13eb-11f1-9378-303ea725c124,Boston,74,61,7.545539|7.000000|1.000000,0.02689218521118164,7.0,8.822909|7.000000|1.000000,7.545539|7.000000|1.000000,8.822909|7.000000|1.000000,7,83380224000.000000,N/A,2,5
MOGP_GENERATIONAL,68ca36b8-13eb-11f1-9378-303ea725c124,Boston,74,62,7.545539|7.000000|1.000000,0.02645564079284668,7.0,8.822909|7.000000|1.000000,7.545539|7.000000|1.000000,8.822909|7.000000|1.000000,7,70397353984.000000,N/A,2,5
MOGP_GENERATIONAL,68ca36b8-13eb-11f1-9378-303ea725c124,Boston,74,63,7.545539|7.000000|1.000000,0.026546478271484375,7.0,8.822909|7.000000|1.000000,7.545539|7.000000|1.000000,8.822909|7.000000|1.000000,7,89511206912.000000,N/A,2,5
MOGP_GENERATIONAL,68ca36b8-13eb-11f1-9378-303ea725c124,Boston,74,64,7.545539|7.000000|1.000000,0.02642822265625,7.0,8.822909|7.000000|1.000000,7.545539|7.000000|1.000000,8.822909|7.000000|1.000000,7,81290641408.000000,N/A,2,5
MOGP_GENERATIONAL,68ca36b8-13eb-11f1-9378-303ea725c124,Boston,74,65,7.545539|7.000000|1.000000,0.025960683822631836,7.0,8.822909|7.000000|1.000000,7.545539|7.000000|1.000000,8.822909|7.000000|1.000000,7,69950308352.000000,N/A,2,5
MOGP_GENERATIONAL,68ca36b8-13eb-11f1-9378-303ea725c124,Boston,74,66,7.545539|7.000000|1.000000,0.02624964714050293,7.0,8.822909|7.000000|1.000000,7.545539|7.000000|1.000000,8.822909|7.000000|1.000000,7,103247667200.000000,N/A,2,5
MOGP_GENERATIONAL,68ca36b8-13eb-11f1-9378-303ea725c124,Boston,74,67,7.545539|7.000000|1.000000,0.02644658088684082,7.0,8.822909|7.000000|1.000000,7.545539|7.000000|1.000000,8.822909|7.000000|1.000000,7,112211501056.000000,N/A,2,5
MOGP_GENERATIONAL,68ca36b8-13eb-11f1-9378-303ea725c124,Boston,74,68,7.545539|7.000000|1.000000,0.02640509605407715,7.0,8.822909|7.000000|1.000000,7.545539|7.000000|1.000000,8.822909|7.000000|1.000000,7,74340048896.000000,N/A,2,5
MOGP_GENERATIONAL,68ca36b8-13eb-11f1-9378-303ea725c124,Boston,74,69,7.545539|7.000000|1.000000,0.026172637939453125,7.0,8.822909|7.000000|1.000000,7.545539|7.000000|1.000000,8.822909|7.000000|1.000000,7,54509158400.000000,N/A,2,5
MOGP_GENERATIONAL,68ca36b8-13eb-11f1-9378-303ea725c124,Boston,74,70,7.545539|7.000000|1.000000,0.026988506317138672,7.0,8.822909|7.000000|1.000000,7.545539|7.000000|1.000000,8.822909|7.000000|1.000000,7,106604797952.000000,N/A,2,5
MOGP_GENERATIONAL,68ca36b8-13eb-11f1-9378-303ea725c124,Boston,74,71,7.545539|7.000000|1.000000,0.02735304832458496,7.0,8.822909|7.000000|1.000000,7.545539|7.000000|1.000000,8.822909|7.000000|1.000000,7,88799059968.000000,N/A,2,5
MOGP_GENERATIONAL,68ca36b8-13eb-11f1-9378-303ea725c124,Boston,74,72,7.545539|7.000000|1.000000,0.02559518814086914,7.0,8.822909|7.000000|1.000000,7.545539|7.000000|1.000000,8.822909|7.000000|1.000000,7,88847269888.000000,N/A,2,5
MOGP_GENERATIONAL,68ca36b8-13eb-11f1-9378-303ea725c124,Boston,74,73,7.545539|7.000000|1.000000,0.026322603225708008,7.0,8.822909|7.000000|1.000000,7.545539|7.000000|1.000000,8.822909|7.000000|1.000000,7,70143991808.000000,N/A,2,5
MOGP_GENERATIONAL,68ca36b8-13eb-11f1-9378-303ea725c124,Boston,74,74,7.545539|7.000000|1.000000,0.027774333953857422,7.0,8.822909|7.000000|1.000000,7.545539|7.000000|1.000000,8.822909|7.000000|1.000000,7,96409305088.000000,N/A,2,5
MOGP_GENERATIONAL,68ca36b8-13eb-11f1-9378-303ea725c124,Boston,74,75,7.545539|7.000000|1.000000,0.025905370712280273,7.0,8.822909|7.000000|1.000000,7.545539|7.000000|1.000000,8.822909|7.000000|1.000000,7,81157677056.000000,N/A,2,5
MOGP_GENERATIONAL,68ca36b8-13eb-11f1-9378-303ea725c124,Boston,74,76,7.545539|7.000000|1.000000,0.02612161636352539,7.0,8.822909|7.000000|1.000000,7.545539|7.000000|1.000000,8.822909|7.000000|1.000000,7,74083860480.000000,N/A,2,5
MOGP_GENERATIONAL,68ca36b8-13eb-11f1-9378-303ea725c124,Boston,74,77,7.545539|7.000000|1.000000,0.02668452262878418,7.0,8.822909|7.000000|1.000000,7.545539|7.000000|1.000000,8.822909|7.000000|1.000000,7,61517471744.000000,N/A,2,5
MOGP_GENERATIONAL,68ca36b8-13eb-11f1-9378-303ea725c124,Boston,74,78,7.545539|7.000000|1.000000,0.02634596824645996,7.0,8.822909|7.000000|1.000000,7.545539|7.000000|1.000000,8.822909|7.000000|1.000000,7,98747760640.000000,N/A,2,5
MOGP_GENERATIONAL,68ca36b8-13eb-11f1-9378-303ea725c124,Boston,74,79,7.545539|7.000000|1.000000,0.026822328567504883,7.0,8.822909|7.000000|1.000000,7.545539|7.000000|1.000000,8.822909|7.000000|1.000000,7,53215227904.000000,N/A,2,5
MOGP_GENERATIONAL,68ca36b8-13eb-11f1-9378-303ea725c124,Boston,74,80,7.545539|7.000000|1.000000,0.02703571319580078,7.0,8.822909|7.000000|1.000000,7.545539|7.000000|1.000000,8.822909|7.000000|1.000000,7,57441488896.000000,N/A,2,5
MOGP_GENERATIONAL,68ca36b8-13eb-11f1-9378-303ea725c124,Boston,74,81,7.545539|7.000000|1.000000,0.026798725128173828,7.0,8.822909|7.000000|1.000000,7.545539|7.000000|1.000000,8.822909|7.000000|1.000000,7,110359134208.000000,N/A,2,5
MOGP_GENERATIONAL,68ca36b8-13eb-11f1-9378-303ea725c124,Boston,74,82,7.545539|7.000000|1.000000,0.02557229995727539,7.0,8.822909|7.000000|1.000000,7.545539|7.000000|1.000000,8.822909|7.000000|1.000000,7,3754364928.000000,N/A,2,5
MOGP_GENERATIONAL,68ca36b8-13eb-11f1-9378-303ea725c124,Boston,74,83,7.545539|7.000000|1.000000,0.02666306495666504,7.0,8.822909|7.000000|1.000000,7.545539|7.000000|1.000000,8.822909|7.000000|1.000000,7,58361856000.000000,N/A,2,5
MOGP_GENERATIONAL,68ca36b8-13eb-11f1-9378-303ea725c124,Boston,74,84,7.545539|7.000000|1.000000,0.026259660720825195,7.0,8.822909|7.000000|1.000000,7.545539|7.000000|1.000000,8.822909|7.000000|1.000000,7,62119026688.000000,N/A,2,5
MOGP_GENERATIONAL,68ca36b8-13eb-11f1-9378-303ea725c124,Boston,74,85,7.545539|7.000000|1.000000,0.027404069900512695,7.0,8.822909|7.000000|1.000000,7.545539|7.000000|1.000000,8.822909|7.000000|1.000000,7,95831531520.000000,N/A,2,5
MOGP_GENERATIONAL,68ca36b8-13eb-11f1-9378-303ea725c124,Boston,74,86,7.545539|7.000000|1.000000,0.025739669799804688,7.0,8.822909|7.000000|1.000000,7.545539|7.000000|1.000000,8.822909|7.000000|1.000000,7,52517322752.000000,N/A,2,5
MOGP_GENERATIONAL,68ca36b8-13eb-11f1-9378-303ea725c124,Boston,74,87,7.545539|7.000000|1.000000,0.02569723129272461,7.0,8.822909|7.000000|1.000000,7.545539|7.000000|1.000000,8.822909|7.000000|1.000000,7,102665043968.000000,N/A,2,5
MOGP_GENERATIONAL,68ca36b8-13eb-11f1-9378-303ea725c124,Boston,74,88,7.545539|7.000000|1.000000,0.026841163635253906,7.0,8.822909|7.000000|1.000000,7.545539|7.000000|1.000000,8.822909|7.000000|1.000000,7,92247138304.000000,N/A,2,5
MOGP_GENERATIONAL,68ca36b8-13eb-11f1-9378-303ea725c124,Boston,74,89,7.545539|7.000000|1.000000,0.026146650314331055,7.0,8.822909|7.000000|1.000000,7.545539|7.000000|1.000000,8.822909|7.000000|1.000000,7,91804393472.000000,N/A,2,5
