MOGP_GENERATIONAL,e0ef39e2-152e-11f1-9378-303ea725c124,Cooling,74,71,4.497596|3.000000|1.000000,0.026034832000732422,3.0,4.659729|3.000000|1.000000,4.497596|3.000000|1.000000,4.659729|3.000000|1.000000,3,82584502272.000000,N/A,2,5
MOGP_GENERATIONAL,e0ef39e2-152e-11f1-9378-303ea725c124,Cooling,74,72,4.497596|3.000000|1.000000,0.02612924575805664,3.0,4.659729|3.000000|1.000000,4.497596|3.000000|1.000000,4.659729|3.000000|1.000000,3,82640478208.000000,N/A,2,5
MOGP_GENERATIONAL,e0ef39e2-152e-11f1-9378-303ea725c124,Cooling,74,73,4.497596|3.000000|1.000000,0.026723861694335938,3.0,4.659729|3.000000|1.000000,4.497596|3.000000|1.000000,4.659729|3.000000|1.000000,3,82583740416.000000,N/A,2,5
MOGP_GENERATIONAL,e0ef39e2-152e-11f1-9378-303ea725c124,Cooling,74,74,4.497596|3.000000|1.000000,0.027360916137695312,3.0,4.659729|3.000000|1.000000,4.497596|3.000000|1.000000,4.659729|3.000000|1.000000,3,69374410752.000000,N/A,2,5
MOGP_GENERATIONAL,e0ef39e2-152e-11f1-9378-303ea725c124,Cooling,74,75,4.497596|3.000000|1.000000,0.02533411979675293,3.0,4.659729|3.000000|1.000000,4.497596|3.000000|1.000000,4.659729|3.000000|1.000000,3,86277128192.000000,N/A,2,5
MOGP_GENERATIONAL,e0ef39e2-152e-11f1-9378-303ea725c124,Cooling,74,76,4.497596|3.000000|1.000000,0.02693963050842285,3.0,4.659729|3.000000|1.000000,4.497596|3.000000|1.000000,4.659729|3.000000|1.000000,3,72236408832.000000,N/A,2,5
MOGP_GENERATIONAL,e0ef39e2-152e-11f1-9378-303ea725c124,Cooling,74,77,4.497596|3.000000|1.000000,0.026914119720458984,3.0,4.659729|3.000000|1.000000,4.497596|3.000000|1.000000,4.659729|3.000000|1.000000,3,99425787904.000000,N/A,2,5
MOGP_GENERATIONAL,e0ef39e2-152e-11f1-9378-303ea725c124,Cooling,74,78,4.497596|3.000000|1.000000,0.028319120407104492,3.0,4.659729|3.000000|1.000000,4.497596|3.000000|1.000000,4.659729|3.000000|1.000000,3,119563927552.000000,N/A,2,5
MOGP_GENERATIONAL,e0ef39e2-152e-11f1-9378-303ea725c124,Cooling,74,79,4.497596|3.000000|1.000000,0.026861906051635742,3.0,4.659729|3.000000|1.000000,4.497596|3.000000|1.000000,4.659729|3.000000|1.000000,3,103146946560.000000,N/A,2,5
MOGP_GENERATIONAL,e0ef39e2-152e-11f1-9378-303ea725c124,Cooling,74,80,4.497596|3.000000|1.000000,0.02759075164794922,3.0,4.659729|3.000000|1.000000,4.497596|3.000000|1.000000,4.659729|3.000000|1.000000,3,84744798208.000000,N/A,2,5
